Beacon,RSSI
PicoBeacon2,-66
PicoBeacon1,-38
PicoBeacon1,-53
PicoBeacon2,-60
PicoBeacon2,-59
PicoBeacon1,-54
PicoBeacon1,-54
PicoBeacon2,-61
PicoBeacon2,-59
PicoBeacon1,-53
PicoBeacon2,-44
PicoBeacon1,-53
PicoBeacon2,-44
PicoBeacon1,-39
PicoBeacon2,-59
PicoBeacon1,-53
PicoBeacon1,-41
PicoBeacon2,-44
PicoBeacon1,-35
PicoBeacon2,-63
PicoBeacon1,-54
PicoBeacon2,-60
PicoBeacon2,-59
PicoBeacon1,-52
PicoBeacon1,-54
PicoBeacon2,-58
PicoBeacon1,-53
PicoBeacon2,-58
PicoBeacon1,-55
PicoBeacon1,-53
PicoBeacon2,-45
PicoBeacon2,-60
PicoBeacon1,-53
PicoBeacon2,-44
PicoBeacon1,-54
PicoBeacon2,-59
PicoBeacon1,-37
PicoBeacon2,-58
PicoBeacon2,-59
PicoBeacon2,-60
PicoBeacon1,-37
PicoBeacon1,-54
PicoBeacon1,-39
PicoBeacon1,-53
PicoBeacon2,-58
PicoBeacon1,-54
PicoBeacon2,-54
PicoBeacon1,-53
PicoBeacon2,-61
PicoBeacon1,-54
PicoBeacon2,-44
PicoBeacon1,-53
PicoBeacon2,-62
PicoBeacon1,-38
PicoBeacon2,-59
PicoBeacon1,-38
PicoBeacon2,-47
PicoBeacon1,-51
PicoBeacon2,-62
PicoBeacon1,-41
PicoBeacon1,-53
PicoBeacon2,-44
PicoBeacon2,-45
PicoBeacon1,-40
PicoBeacon1,-54
PicoBeacon1,-54
PicoBeacon2,-45
PicoBeacon1,-34
PicoBeacon2,-44
PicoBeacon1,-39
PicoBeacon1,-37
PicoBeacon1,-52
PicoBeacon2,-61
PicoBeacon2,-60
PicoBeacon1,-54
PicoBeacon2,-60
PicoBeacon1,-55
PicoBeacon2,-60
PicoBeacon1,-54
PicoBeacon2,-62
PicoBeacon1,-53
PicoBeacon2,-61
PicoBeacon1,-52
PicoBeacon2,-58
PicoBeacon1,-54
PicoBeacon2,-58
PicoBeacon1,-54
PicoBeacon1,-53
PicoBeacon2,-58
PicoBeacon1,-53
PicoBeacon1,-52
PicoBeacon1,-53
PicoBeacon1,-51
PicoBeacon2,-59
PicoBeacon1,-53
PicoBeacon2,-59
PicoBeacon1,-54
PicoBeacon1,-54
PicoBeacon2,-60
PicoBeacon1,-52
PicoBeacon2,-61
PicoBeacon1,-53
PicoBeacon2,-59
PicoBeacon1,-54
PicoBeacon2,-61
PicoBeacon1,-52
PicoBeacon2,-60
PicoBeacon2,-59
PicoBeacon1,-52
PicoBeacon2,-61
PicoBeacon1,-54
PicoBeacon2,-57
PicoBeacon1,-54
PicoBeacon2,-61
PicoBeacon1,-52
PicoBeacon2,-61
PicoBeacon1,-39
PicoBeacon2,-59
PicoBeacon1,-52
PicoBeacon2,-59
PicoBeacon1,-42
PicoBeacon2,-58
PicoBeacon1,-52
PicoBeacon2,-59
PicoBeacon2,-59
PicoBeacon1,-54
PicoBeacon1,-51
PicoBeacon1,-52
PicoBeacon1,-52
PicoBeacon2,-60
PicoBeacon1,-54
PicoBeacon2,-60
PicoBeacon2,-58
PicoBeacon2,-60
PicoBeacon1,-54
PicoBeacon2,-60
PicoBeacon1,-52
PicoBeacon1,-52
PicoBeacon2,-59
PicoBeacon1,-52
PicoBeacon1,-53
PicoBeacon2,-59
PicoBeacon1,-53
PicoBeacon1,-52
PicoBeacon2,-60
PicoBeacon2,-59
PicoBeacon1,-42
PicoBeacon1,-47
PicoBeacon1,-51
PicoBeacon2,-58
PicoBeacon1,-54
PicoBeacon2,-60
PicoBeacon1,-39
