Beacon,RSSI
PicoBeacon2,-35
PicoBeacon1,-51
PicoBeacon1,-68
PicoBeacon1,-56
PicoBeacon2,-49
PicoBeacon1,-66
PicoBeacon1,-69
PicoBeacon2,-50
PicoBeacon1,-62
PicoBeacon2,-34
PicoBeacon1,-67
PicoBeacon2,-46
PicoBeacon1,-68
PicoBeacon2,-43
PicoBeacon1,-67
PicoBeacon2,-44
PicoBeacon1,-63
PicoBeacon2,-27
PicoBeacon1,-62
PicoBeacon2,-43
PicoBeacon1,-66
PicoBeacon2,-31
PicoBeacon1,-53
PicoBeacon2,-30
PicoBeacon2,-40
PicoBeacon1,-53
PicoBeacon1,-66
PicoBeacon2,-49
PicoBeacon1,-69
PicoBeacon2,-43
PicoBeacon1,-62
PicoBeacon1,-47
PicoBeacon2,-46
PicoBeacon1,-64
PicoBeacon2,-49
PicoBeacon2,-43
PicoBeacon1,-64
PicoBeacon1,-66
PicoBeacon2,-47
PicoBeacon1,-63
PicoBeacon2,-40
PicoBeacon2,-31
PicoBeacon1,-65
PicoBeacon1,-63
PicoBeacon2,-20
PicoBeacon1,-53
PicoBeacon2,-33
PicoBeacon2,-30
PicoBeacon1,-53
PicoBeacon2,-50
PicoBeacon2,-43
PicoBeacon1,-65
PicoBeacon2,-50
PicoBeacon1,-63
PicoBeacon2,-44
PicoBeacon1,-67
PicoBeacon2,-45
PicoBeacon1,-47
PicoBeacon2,-44
PicoBeacon1,-51
PicoBeacon2,-45
PicoBeacon1,-69
PicoBeacon2,-31
PicoBeacon1,-66
PicoBeacon2,-31
PicoBeacon1,-67
PicoBeacon1,-52
PicoBeacon2,-33
PicoBeacon2,-31
PicoBeacon1,-52
PicoBeacon1,-62
PicoBeacon2,-30
PicoBeacon2,-30
PicoBeacon1,-63
PicoBeacon2,-43
PicoBeacon1,-47
PicoBeacon1,-53
PicoBeacon2,-44
PicoBeacon2,-31
PicoBeacon1,-67
PicoBeacon1,-69
PicoBeacon2,-20
PicoBeacon2,-44
PicoBeacon1,-62
PicoBeacon2,-44
PicoBeacon2,-43
PicoBeacon1,-48
PicoBeacon2,-43
PicoBeacon1,-48
PicoBeacon1,-50
PicoBeacon2,-31
PicoBeacon1,-64
PicoBeacon2,-31
PicoBeacon1,-51
PicoBeacon2,-43
PicoBeacon2,-30
PicoBeacon2,-44
PicoBeacon1,-48
PicoBeacon2,-29
PicoBeacon1,-53
PicoBeacon2,-47
PicoBeacon1,-69
PicoBeacon1,-50
PicoBeacon2,-47
PicoBeacon2,-49
PicoBeacon1,-67
PicoBeacon2,-43
PicoBeacon1,-63
PicoBeacon2,-33
PicoBeacon1,-67
PicoBeacon1,-65
PicoBeacon2,-43
PicoBeacon1,-50
PicoBeacon2,-49
PicoBeacon2,-35
PicoBeacon2,-31
PicoBeacon1,-64
PicoBeacon2,-30
PicoBeacon2,-44
PicoBeacon1,-48
PicoBeacon2,-44
PicoBeacon1,-63
PicoBeacon2,-47
PicoBeacon1,-57
PicoBeacon2,-21
PicoBeacon1,-67
PicoBeacon1,-48
