Beacon,RSSI
PicoBeacon1,-27
PicoBeacon2,-43
PicoBeacon1,-42
PicoBeacon2,-61
PicoBeacon1,-41
PicoBeacon2,-56
PicoBeacon1,-38
PicoBeacon2,-57
PicoBeacon1,-39
PicoBeacon2,-46
PicoBeacon2,-42
PicoBeacon1,-39
PicoBeacon1,-45
PicoBeacon2,-54
PicoBeacon1,-36
PicoBeacon2,-57
PicoBeacon2,-46
PicoBeacon1,-38
PicoBeacon2,-42
PicoBeacon1,-51
PicoBeacon2,-67
PicoBeacon1,-26
PicoBeacon2,-71
PicoBeacon1,-40
PicoBeacon2,-55
PicoBeacon1,-36
PicoBeacon2,-70
PicoBeacon1,-25
PicoBeacon1,-36
PicoBeacon2,-46
PicoBeacon1,-23
PicoBeacon2,-62
PicoBeacon1,-36
PicoBeacon1,-37
PicoBeacon2,-53
PicoBeacon1,-26
PicoBeacon2,-59
PicoBeacon1,-37
PicoBeacon2,-42
PicoBeacon1,-36
PicoBeacon2,-58
PicoBeacon1,-26
PicoBeacon2,-55
PicoBeacon1,-36
PicoBeacon2,-70
PicoBeacon2,-56
PicoBeacon2,-61
PicoBeacon1,-26
PicoBeacon2,-58
PicoBeacon1,-37
PicoBeacon2,-58
PicoBeacon1,-36
PicoBeacon2,-57
PicoBeacon2,-68
PicoBeacon1,-39
PicoBeacon1,-36
PicoBeacon2,-60
PicoBeacon1,-39
PicoBeacon2,-57
PicoBeacon1,-39
PicoBeacon2,-71
PicoBeacon2,-71
PicoBeacon1,-38
PicoBeacon1,-38
PicoBeacon2,-70
PicoBeacon2,-46
PicoBeacon1,-39
PicoBeacon2,-68
PicoBeacon1,-28
PicoBeacon2,-57
PicoBeacon2,-57
PicoBeacon1,-39
PicoBeacon2,-61
PicoBeacon2,-70
PicoBeacon1,-39
PicoBeacon2,-71
PicoBeacon2,-67
PicoBeacon1,-28
PicoBeacon2,-46
PicoBeacon2,-45
PicoBeacon2,-59
PicoBeacon1,-36
PicoBeacon2,-57
PicoBeacon1,-39
PicoBeacon2,-59
PicoBeacon1,-25
PicoBeacon2,-57
PicoBeacon1,-39
PicoBeacon2,-59
PicoBeacon1,-36
PicoBeacon2,-60
PicoBeacon1,-80
PicoBeacon2,-60
PicoBeacon2,-72
PicoBeacon2,-60
PicoBeacon1,-39
PicoBeacon2,-72
PicoBeacon1,-26
PicoBeacon2,-73
PicoBeacon2,-58
PicoBeacon2,-61
PicoBeacon1,-37
PicoBeacon1,-38
PicoBeacon1,-47
PicoBeacon2,-60
PicoBeacon1,-39
PicoBeacon1,-40
PicoBeacon2,-60
PicoBeacon1,-38
PicoBeacon2,-42
PicoBeacon1,-25
PicoBeacon2,-71
PicoBeacon1,-26
PicoBeacon2,-85
PicoBeacon1,-37
PicoBeacon1,-39
PicoBeacon2,-72
PicoBeacon1,-38
PicoBeacon2,-60
