Beacon,RSSI
PicoBeacon1,-75
PicoBeacon1,-60
PicoBeacon2,-30
PicoBeacon1,-50
PicoBeacon1,-72
PicoBeacon1,-59
PicoBeacon2,-48
PicoBeacon2,-34
PicoBeacon1,-58
PicoBeacon2,-45
PicoBeacon1,-64
PicoBeacon2,-44
PicoBeacon1,-74
PicoBeacon2,-44
PicoBeacon1,-49
PicoBeacon2,-31
PicoBeacon2,-31
PicoBeacon1,-71
PicoBeacon2,-30
PicoBeacon1,-67
PicoBeacon2,-30
PicoBeacon2,-34
PicoBeacon1,-56
PicoBeacon2,-44
PicoBeacon1,-73
PicoBeacon2,-34
PicoBeacon2,-43
PicoBeacon1,-63
PicoBeacon1,-50
PicoBeacon2,-41
PicoBeacon2,-34
PicoBeacon1,-72
PicoBeacon2,-32
PicoBeacon1,-65
PicoBeacon2,-44
PicoBeacon1,-58
PicoBeacon2,-49
PicoBeacon2,-46
PicoBeacon1,-64
PicoBeacon2,-34
PicoBeacon1,-77
PicoBeacon1,-63
PicoBeacon2,-48
PicoBeacon2,-32
PicoBeacon2,-35
PicoBeacon1,-54
PicoBeacon2,-43
PicoBeacon1,-61
PicoBeacon2,-44
PicoBeacon1,-72
PicoBeacon2,-32
PicoBeacon1,-64
PicoBeacon2,-32
PicoBeacon1,-64
PicoBeacon2,-44
PicoBeacon1,-77
PicoBeacon1,-50
PicoBeacon2,-48
PicoBeacon1,-61
PicoBeacon1,-69
PicoBeacon2,-49
PicoBeacon1,-62
PicoBeacon2,-32
PicoBeacon1,-69
PicoBeacon2,-44
PicoBeacon1,-62
PicoBeacon2,-33
PicoBeacon1,-79
PicoBeacon1,-55
PicoBeacon2,-30
PicoBeacon1,-50
PicoBeacon1,-50
PicoBeacon2,-48
PicoBeacon2,-48
PicoBeacon2,-44
PicoBeacon1,-76
PicoBeacon2,-44
PicoBeacon1,-82
PicoBeacon2,-43
PicoBeacon1,-65
PicoBeacon2,-34
PicoBeacon1,-50
PicoBeacon1,-64
PicoBeacon2,-44
PicoBeacon1,-49
PicoBeacon2,-43
PicoBeacon2,-46
PicoBeacon1,-64
PicoBeacon1,-79
PicoBeacon2,-48
PicoBeacon1,-65
PicoBeacon2,-30
PicoBeacon1,-66
PicoBeacon2,-43
PicoBeacon1,-67
PicoBeacon2,-44
PicoBeacon1,-74
PicoBeacon2,-50
PicoBeacon1,-74
PicoBeacon2,-50
PicoBeacon1,-64
PicoBeacon2,-43
PicoBeacon1,-75
PicoBeacon2,-43
PicoBeacon1,-74
PicoBeacon2,-44
PicoBeacon2,-33
PicoBeacon1,-77
PicoBeacon2,-44
PicoBeacon1,-78
PicoBeacon2,-31
PicoBeacon1,-76
PicoBeacon2,-31
PicoBeacon1,-60
PicoBeacon1,-50
PicoBeacon2,-44
PicoBeacon1,-73
PicoBeacon2,-50
PicoBeacon1,-63
PicoBeacon2,-39
PicoBeacon1,-64
PicoBeacon1,-75
PicoBeacon2,-43
PicoBeacon2,-50
PicoBeacon1,-59
PicoBeacon1,-72
