Beacon,RSSI
PicoBeacon1,-43
PicoBeacon2,-59
PicoBeacon1,-47
PicoBeacon2,-55
PicoBeacon1,-41
PicoBeacon2,-53
PicoBeacon1,-42
PicoBeacon2,-44
PicoBeacon1,-46
PicoBeacon1,-61
PicoBeacon2,-58
PicoBeacon2,-58
PicoBeacon1,-45
PicoBeacon2,-44
PicoBeacon2,-53
PicoBeacon1,-43
PicoBeacon2,-59
PicoBeacon2,-37
PicoBeacon1,-56
PicoBeacon2,-37
PicoBeacon1,-42
PicoBeacon2,-59
PicoBeacon2,-58
PicoBeacon2,-44
PicoBeacon1,-42
PicoBeacon2,-53
PicoBeacon2,-43
PicoBeacon1,-56
PicoBeacon2,-52
PicoBeacon2,-59
PicoBeacon1,-59
PicoBeacon2,-43
PicoBeacon1,-55
PicoBeacon1,-57
PicoBeacon2,-54
PicoBeacon2,-59
PicoBeacon1,-43
PicoBeacon2,-37
PicoBeacon2,-52
PicoBeacon1,-43
PicoBeacon2,-58
PicoBeacon1,-60
PicoBeacon2,-53
PicoBeacon2,-45
PicoBeacon1,-41
PicoBeacon1,-45
PicoBeacon2,-53
PicoBeacon1,-46
PicoBeacon2,-45
PicoBeacon1,-45
PicoBeacon2,-58
PicoBeacon1,-55
PicoBeacon2,-59
PicoBeacon2,-42
PicoBeacon1,-42
PicoBeacon1,-55
PicoBeacon2,-58
PicoBeacon1,-41
PicoBeacon1,-60
PicoBeacon2,-45
PicoBeacon1,-42
PicoBeacon2,-53
PicoBeacon2,-43
PicoBeacon1,-56
PicoBeacon1,-62
PicoBeacon2,-38
PicoBeacon1,-42
PicoBeacon2,-44
PicoBeacon1,-61
PicoBeacon2,-53
PicoBeacon1,-41
PicoBeacon1,-41
PicoBeacon2,-59
PicoBeacon1,-46
PicoBeacon2,-44
PicoBeacon1,-41
PicoBeacon2,-44
PicoBeacon2,-45
PicoBeacon1,-41
PicoBeacon1,-41
PicoBeacon1,-56
PicoBeacon2,-37
PicoBeacon1,-56
PicoBeacon2,-43
PicoBeacon2,-37
PicoBeacon1,-41
PicoBeacon1,-55
PicoBeacon2,-52
PicoBeacon1,-41
PicoBeacon2,-37
PicoBeacon1,-42
PicoBeacon2,-59
PicoBeacon1,-41
PicoBeacon1,-41
PicoBeacon2,-59
PicoBeacon1,-47
PicoBeacon2,-53
PicoBeacon1,-56
PicoBeacon2,-44
PicoBeacon2,-44
PicoBeacon1,-59
PicoBeacon2,-44
PicoBeacon1,-41
PicoBeacon2,-45
PicoBeacon1,-42
PicoBeacon2,-59
PicoBeacon1,-61
PicoBeacon2,-44
PicoBeacon1,-55
PicoBeacon2,-52
PicoBeacon1,-59
PicoBeacon1,-57
PicoBeacon1,-59
PicoBeacon2,-59
PicoBeacon2,-59
PicoBeacon1,-42
PicoBeacon2,-37
PicoBeacon1,-47
PicoBeacon2,-53
PicoBeacon2,-56
PicoBeacon1,-46
PicoBeacon2,-44
PicoBeacon1,-41
PicoBeacon2,-42
PicoBeacon1,-56
PicoBeacon2,-60
