Beacon,RSSI
PicoBeacon1,-42
PicoBeacon2,-48
PicoBeacon1,-56
PicoBeacon2,-62
PicoBeacon1,-40
PicoBeacon1,-57
PicoBeacon1,-41
PicoBeacon2,-66
PicoBeacon2,-66
PicoBeacon1,-41
PicoBeacon2,-65
PicoBeacon1,-55
PicoBeacon2,-63
PicoBeacon1,-43
PicoBeacon2,-62
PicoBeacon1,-42
PicoBeacon1,-56
PicoBeacon1,-57
PicoBeacon1,-41
PicoBeacon2,-47
PicoBeacon2,-47
PicoBeacon1,-56
PicoBeacon2,-65
PicoBeacon1,-55
PicoBeacon2,-61
PicoBeacon1,-56
PicoBeacon2,-62
PicoBeacon2,-61
PicoBeacon1,-57
PicoBeacon2,-57
PicoBeacon1,-47
PicoBeacon2,-68
PicoBeacon1,-57
PicoBeacon2,-47
PicoBeacon1,-57
PicoBeacon2,-50
PicoBeacon1,-57
PicoBeacon1,-56
PicoBeacon1,-42
PicoBeacon1,-42
PicoBeacon2,-48
PicoBeacon1,-42
PicoBeacon2,-50
PicoBeacon1,-57
PicoBeacon2,-62
PicoBeacon1,-57
PicoBeacon1,-43
PicoBeacon2,-50
PicoBeacon1,-57
PicoBeacon1,-42
PicoBeacon1,-43
PicoBeacon1,-55
PicoBeacon2,-51
PicoBeacon1,-55
PicoBeacon2,-66
PicoBeacon1,-56
PicoBeacon2,-63
PicoBeacon1,-41
PicoBeacon2,-51
PicoBeacon1,-57
PicoBeacon2,-63
PicoBeacon2,-47
PicoBeacon1,-55
PicoBeacon2,-63
PicoBeacon1,-43
PicoBeacon2,-51
PicoBeacon1,-57
PicoBeacon2,-63
PicoBeacon2,-47
PicoBeacon1,-54
PicoBeacon2,-49
PicoBeacon2,-48
PicoBeacon1,-43
PicoBeacon2,-48
PicoBeacon2,-61
PicoBeacon1,-42
PicoBeacon1,-57
PicoBeacon2,-66
PicoBeacon2,-62
PicoBeacon1,-57
PicoBeacon2,-63
PicoBeacon1,-43
PicoBeacon2,-51
PicoBeacon1,-50
PicoBeacon1,-55
PicoBeacon1,-40
PicoBeacon2,-47
PicoBeacon2,-61
PicoBeacon1,-42
PicoBeacon2,-67
PicoBeacon1,-42
PicoBeacon2,-65
PicoBeacon2,-51
PicoBeacon2,-51
PicoBeacon2,-61
PicoBeacon2,-47
PicoBeacon1,-41
PicoBeacon2,-48
PicoBeacon1,-44
PicoBeacon2,-61
PicoBeacon1,-55
PicoBeacon2,-61
PicoBeacon2,-62
PicoBeacon1,-55
PicoBeacon2,-62
PicoBeacon2,-51
PicoBeacon2,-62
PicoBeacon1,-57
PicoBeacon2,-63
PicoBeacon1,-43
PicoBeacon1,-43
PicoBeacon2,-63
PicoBeacon1,-54
PicoBeacon2,-61
PicoBeacon1,-40
PicoBeacon2,-49
PicoBeacon2,-49
PicoBeacon2,-50
PicoBeacon2,-61
PicoBeacon2,-49
PicoBeacon1,-57
PicoBeacon2,-63
PicoBeacon1,-57
