Beacon,RSSI
PicoBeacon1,-55
PicoBeacon2,-64
PicoBeacon1,-40
PicoBeacon1,-35
PicoBeacon1,-56
PicoBeacon2,-64
PicoBeacon1,-55
PicoBeacon2,-56
PicoBeacon1,-57
PicoBeacon2,-41
PicoBeacon2,-58
PicoBeacon2,-63
PicoBeacon1,-51
PicoBeacon2,-56
PicoBeacon1,-41
PicoBeacon2,-56
PicoBeacon1,-46
PicoBeacon1,-51
PicoBeacon2,-48
PicoBeacon1,-55
PicoBeacon2,-42
PicoBeacon2,-63
PicoBeacon2,-41
PicoBeacon1,-41
PicoBeacon2,-42
PicoBeacon1,-45
PicoBeacon2,-63
PicoBeacon1,-52
PicoBeacon2,-42
PicoBeacon1,-57
PicoBeacon1,-41
PicoBeacon2,-56
PicoBeacon1,-55
PicoBeacon2,-55
PicoBeacon2,-63
PicoBeacon1,-35
PicoBeacon2,-58
PicoBeacon1,-55
PicoBeacon1,-55
PicoBeacon1,-56
PicoBeacon2,-63
PicoBeacon1,-51
PicoBeacon1,-52
PicoBeacon2,-56
PicoBeacon1,-56
PicoBeacon2,-42
PicoBeacon1,-35
PicoBeacon2,-55
PicoBeacon1,-55
PicoBeacon2,-42
PicoBeacon1,-51
PicoBeacon1,-42
PicoBeacon2,-48
PicoBeacon2,-56
PicoBeacon2,-56
PicoBeacon1,-56
PicoBeacon2,-48
PicoBeacon1,-41
PicoBeacon2,-57
PicoBeacon1,-54
PicoBeacon2,-56
PicoBeacon1,-51
PicoBeacon1,-50
PicoBeacon2,-56
PicoBeacon1,-55
PicoBeacon2,-58
PicoBeacon1,-55
PicoBeacon2,-56
PicoBeacon1,-41
PicoBeacon1,-35
PicoBeacon2,-58
PicoBeacon1,-50
PicoBeacon2,-57
PicoBeacon1,-51
PicoBeacon2,-41
PicoBeacon1,-56
PicoBeacon1,-57
PicoBeacon2,-58
PicoBeacon1,-41
PicoBeacon2,-63
PicoBeacon1,-67
PicoBeacon2,-42
PicoBeacon1,-55
PicoBeacon2,-56
PicoBeacon2,-57
PicoBeacon1,-51
PicoBeacon2,-65
PicoBeacon2,-57
PicoBeacon2,-63
PicoBeacon2,-64
PicoBeacon1,-55
PicoBeacon2,-63
PicoBeacon2,-41
PicoBeacon1,-56
PicoBeacon2,-57
PicoBeacon1,-43
PicoBeacon2,-41
PicoBeacon1,-51
PicoBeacon2,-42
PicoBeacon1,-41
PicoBeacon2,-57
PicoBeacon1,-41
PicoBeacon2,-42
PicoBeacon2,-56
PicoBeacon1,-57
PicoBeacon1,-56
PicoBeacon2,-57
PicoBeacon1,-42
PicoBeacon1,-35
PicoBeacon2,-64
PicoBeacon1,-45
PicoBeacon2,-41
PicoBeacon1,-40
PicoBeacon2,-56
PicoBeacon1,-54
PicoBeacon2,-56
PicoBeacon2,-56
PicoBeacon1,-55
PicoBeacon2,-64
PicoBeacon1,-56
PicoBeacon2,-48
