Beacon,RSSI
PicoBeacon2,-40
PicoBeacon1,-54
PicoBeacon1,-41
PicoBeacon2,-40
PicoBeacon1,-59
PicoBeacon1,-57
PicoBeacon2,-59
PicoBeacon1,-47
PicoBeacon2,-41
PicoBeacon2,-56
PicoBeacon1,-55
PicoBeacon2,-45
PicoBeacon1,-56
PicoBeacon2,-45
PicoBeacon1,-56
PicoBeacon2,-60
PicoBeacon1,-44
PicoBeacon2,-56
PicoBeacon2,-56
PicoBeacon2,-41
PicoBeacon1,-55
PicoBeacon2,-56
PicoBeacon1,-40
PicoBeacon1,-56
PicoBeacon2,-56
PicoBeacon2,-59
PicoBeacon1,-57
PicoBeacon1,-56
PicoBeacon2,-56
PicoBeacon1,-41
PicoBeacon2,-59
PicoBeacon1,-55
PicoBeacon2,-59
PicoBeacon1,-40
PicoBeacon2,-59
PicoBeacon1,-42
PicoBeacon2,-56
PicoBeacon1,-45
PicoBeacon2,-59
PicoBeacon1,-55
PicoBeacon2,-56
PicoBeacon2,-56
PicoBeacon1,-56
PicoBeacon2,-44
PicoBeacon2,-60
PicoBeacon1,-54
PicoBeacon1,-55
PicoBeacon2,-59
PicoBeacon1,-40
PicoBeacon2,-57
PicoBeacon1,-40
PicoBeacon2,-41
PicoBeacon1,-56
PicoBeacon2,-59
PicoBeacon2,-59
PicoBeacon1,-42
PicoBeacon2,-59
PicoBeacon1,-41
PicoBeacon1,-56
PicoBeacon2,-59
PicoBeacon1,-42
PicoBeacon2,-41
PicoBeacon1,-43
PicoBeacon2,-59
PicoBeacon1,-54
PicoBeacon1,-42
PicoBeacon2,-59
PicoBeacon2,-58
PicoBeacon1,-44
PicoBeacon1,-58
PicoBeacon2,-56
PicoBeacon1,-45
PicoBeacon1,-55
PicoBeacon2,-58
PicoBeacon1,-54
PicoBeacon2,-58
PicoBeacon1,-40
PicoBeacon1,-55
PicoBeacon2,-58
PicoBeacon2,-45
PicoBeacon2,-58
PicoBeacon1,-55
PicoBeacon2,-56
PicoBeacon2,-56
PicoBeacon1,-41
PicoBeacon1,-55
PicoBeacon2,-57
PicoBeacon1,-44
PicoBeacon2,-58
PicoBeacon1,-56
PicoBeacon2,-59
PicoBeacon1,-38
PicoBeacon2,-44
PicoBeacon1,-54
PicoBeacon2,-59
PicoBeacon2,-41
PicoBeacon2,-58
PicoBeacon1,-44
PicoBeacon2,-59
PicoBeacon1,-54
PicoBeacon2,-57
PicoBeacon2,-58
PicoBeacon2,-58
PicoBeacon2,-58
PicoBeacon1,-54
PicoBeacon2,-49
PicoBeacon1,-39
PicoBeacon2,-57
PicoBeacon1,-54
PicoBeacon1,-54
PicoBeacon1,-44
PicoBeacon1,-55
PicoBeacon2,-59
PicoBeacon1,-49
PicoBeacon2,-58
PicoBeacon1,-53
PicoBeacon2,-59
PicoBeacon1,-56
PicoBeacon2,-44
PicoBeacon1,-54
PicoBeacon2,-58
PicoBeacon1,-54
