Beacon,RSSI
PicoBeacon2,-57
PicoBeacon1,-47
PicoBeacon2,-65
PicoBeacon1,-32
PicoBeacon2,-69
PicoBeacon1,-18
PicoBeacon2,-68
PicoBeacon1,-32
PicoBeacon2,-59
PicoBeacon2,-49
PicoBeacon1,-46
PicoBeacon2,-44
PicoBeacon1,-47
PicoBeacon2,-70
PicoBeacon1,-31
PicoBeacon2,-68
PicoBeacon1,-32
PicoBeacon2,-58
PicoBeacon1,-47
PicoBeacon1,-33
PicoBeacon1,-33
PicoBeacon1,-34
PicoBeacon2,-51
PicoBeacon1,-48
PicoBeacon2,-48
PicoBeacon1,-43
PicoBeacon2,-53
PicoBeacon2,-44
PicoBeacon1,-44
PicoBeacon1,-32
PicoBeacon2,-63
PicoBeacon1,-46
PicoBeacon2,-67
PicoBeacon1,-47
PicoBeacon1,-37
PicoBeacon2,-50
PicoBeacon2,-53
PicoBeacon2,-58
PicoBeacon1,-33
PicoBeacon2,-64
PicoBeacon1,-36
PicoBeacon1,-46
PicoBeacon2,-54
PicoBeacon1,-31
PicoBeacon2,-49
PicoBeacon1,-45
PicoBeacon2,-49
PicoBeacon1,-48
PicoBeacon1,-47
PicoBeacon1,-34
PicoBeacon1,-34
PicoBeacon2,-68
PicoBeacon2,-58
PicoBeacon1,-47
PicoBeacon1,-32
PicoBeacon2,-44
PicoBeacon1,-32
PicoBeacon1,-47
PicoBeacon2,-67
PicoBeacon1,-37
PicoBeacon1,-49
PicoBeacon2,-64
PicoBeacon2,-58
PicoBeacon1,-45
PicoBeacon1,-47
PicoBeacon1,-47
PicoBeacon2,-65
PicoBeacon1,-30
PicoBeacon2,-58
PicoBeacon1,-48
PicoBeacon2,-51
PicoBeacon1,-93
PicoBeacon2,-59
PicoBeacon1,-30
PicoBeacon1,-47
PicoBeacon2,-44
PicoBeacon2,-44
PicoBeacon1,-92
PicoBeacon2,-59
PicoBeacon2,-59
PicoBeacon1,-32
PicoBeacon1,-45
PicoBeacon1,-32
PicoBeacon1,-32
PicoBeacon1,-45
PicoBeacon2,-52
PicoBeacon2,-50
PicoBeacon1,-28
PicoBeacon2,-63
PicoBeacon1,-47
PicoBeacon2,-68
PicoBeacon1,-33
PicoBeacon2,-59
PicoBeacon2,-59
PicoBeacon1,-34
PicoBeacon2,-49
PicoBeacon2,-59
PicoBeacon2,-59
PicoBeacon1,-48
PicoBeacon2,-68
PicoBeacon1,-49
PicoBeacon2,-50
PicoBeacon2,-58
PicoBeacon1,-40
PicoBeacon2,-59
PicoBeacon1,-32
PicoBeacon2,-58
PicoBeacon2,-53
PicoBeacon1,-45
PicoBeacon2,-59
PicoBeacon2,-63
PicoBeacon1,-47
PicoBeacon2,-68
PicoBeacon2,-66
