Beacon,RSSI
PicoBeacon1,-33
PicoBeacon2,-55
PicoBeacon1,-46
PicoBeacon2,-68
PicoBeacon1,-41
PicoBeacon1,-43
PicoBeacon1,-48
PicoBeacon1,-32
PicoBeacon2,-55
PicoBeacon1,-23
PicoBeacon2,-55
PicoBeacon2,-68
PicoBeacon1,-47
PicoBeacon2,-50
PicoBeacon1,-47
PicoBeacon1,-23
PicoBeacon2,-70
PicoBeacon1,-46
PicoBeacon2,-69
PicoBeacon1,-49
PicoBeacon2,-69
PicoBeacon1,-46
PicoBeacon1,-44
PicoBeacon2,-68
PicoBeacon1,-32
PicoBeacon2,-63
PicoBeacon1,-53
PicoBeacon2,-63
PicoBeacon2,-48
PicoBeacon2,-69
PicoBeacon2,-47
PicoBeacon2,-64
PicoBeacon1,-55
PicoBeacon2,-67
PicoBeacon2,-63
PicoBeacon1,-48
PicoBeacon2,-68
PicoBeacon1,-43
PicoBeacon2,-64
PicoBeacon2,-65
PicoBeacon1,-32
PicoBeacon2,-52
PicoBeacon1,-48
PicoBeacon2,-62
PicoBeacon2,-65
PicoBeacon1,-48
PicoBeacon2,-64
PicoBeacon1,-47
PicoBeacon2,-49
PicoBeacon1,-55
PicoBeacon1,-63
PicoBeacon2,-62
PicoBeacon1,-33
PicoBeacon2,-51
PicoBeacon1,-53
PicoBeacon2,-55
PicoBeacon2,-65
PicoBeacon2,-51
PicoBeacon1,-44
PicoBeacon1,-46
PicoBeacon2,-65
PicoBeacon1,-48
PicoBeacon2,-64
PicoBeacon1,-50
PicoBeacon2,-49
PicoBeacon2,-69
PicoBeacon2,-70
PicoBeacon1,-32
PicoBeacon1,-86
PicoBeacon2,-68
PicoBeacon1,-47
PicoBeacon2,-55
PicoBeacon1,-48
PicoBeacon2,-66
PicoBeacon1,-58
PicoBeacon2,-56
PicoBeacon1,-43
PicoBeacon2,-64
PicoBeacon1,-28
PicoBeacon2,-68
PicoBeacon1,-48
PicoBeacon2,-66
PicoBeacon1,-50
PicoBeacon2,-50
PicoBeacon1,-59
PicoBeacon2,-68
PicoBeacon2,-52
PicoBeacon1,-45
PicoBeacon2,-70
PicoBeacon1,-50
PicoBeacon2,-66
PicoBeacon1,-50
PicoBeacon1,-35
PicoBeacon2,-61
PicoBeacon2,-65
PicoBeacon1,-32
PicoBeacon2,-49
PicoBeacon1,-58
PicoBeacon2,-67
PicoBeacon1,-46
PicoBeacon1,-45
PicoBeacon1,-59
PicoBeacon2,-54
PicoBeacon2,-65
PicoBeacon1,-44
PicoBeacon2,-59
PicoBeacon1,-50
PicoBeacon2,-67
PicoBeacon1,-46
PicoBeacon2,-66
PicoBeacon1,-32
PicoBeacon2,-52
PicoBeacon1,-57
PicoBeacon1,-45
PicoBeacon2,-67
PicoBeacon1,-45
PicoBeacon1,-59
PicoBeacon2,-74
PicoBeacon1,-45
PicoBeacon2,-67
PicoBeacon1,-35
PicoBeacon2,-69
PicoBeacon2,-58
PicoBeacon1,-22
PicoBeacon2,-68
PicoBeacon1,-32
PicoBeacon2,-49
PicoBeacon1,-35
PicoBeacon2,-67
PicoBeacon1,-45
PicoBeacon1,-35
PicoBeacon2,-76
PicoBeacon1,-73
