Beacon,RSSI
PicoBeacon1,-55
PicoBeacon2,-35
PicoBeacon1,-53
PicoBeacon1,-70
PicoBeacon2,-25
PicoBeacon1,-69
PicoBeacon2,-25
PicoBeacon1,-63
PicoBeacon2,-36
PicoBeacon1,-77
PicoBeacon1,-77
PicoBeacon1,-72
PicoBeacon2,-33
PicoBeacon2,-34
PicoBeacon1,-86
PicoBeacon2,-36
PicoBeacon2,-32
PicoBeacon1,-72
PicoBeacon2,-32
PicoBeacon1,-70
PicoBeacon2,-33
PicoBeacon1,-54
PicoBeacon1,-71
PicoBeacon2,-25
PicoBeacon1,-62
PicoBeacon2,-38
PicoBeacon1,-77
PicoBeacon2,-35
PicoBeacon1,-59
PicoBeacon2,-31
PicoBeacon1,-70
PicoBeacon2,-36
PicoBeacon1,-72
PicoBeacon2,-32
PicoBeacon1,-55
PicoBeacon2,-26
PicoBeacon1,-61
PicoBeacon2,-33
PicoBeacon1,-56
PicoBeacon1,-70
PicoBeacon1,-71
PicoBeacon2,-34
PicoBeacon1,-62
PicoBeacon2,-28
PicoBeacon1,-70
PicoBeacon2,-35
PicoBeacon1,-68
PicoBeacon2,-38
PicoBeacon1,-80
PicoBeacon1,-77
PicoBeacon1,-78
PicoBeacon2,-33
PicoBeacon1,-71
PicoBeacon1,-83
PicoBeacon2,-75
PicoBeacon1,-81
PicoBeacon2,-35
PicoBeacon1,-70
PicoBeacon1,-69
PicoBeacon1,-55
PicoBeacon2,-25
PicoBeacon1,-73
PicoBeacon1,-71
PicoBeacon2,-36
PicoBeacon1,-55
PicoBeacon1,-71
PicoBeacon2,-25
PicoBeacon1,-71
PicoBeacon1,-68
PicoBeacon2,-39
PicoBeacon1,-55
PicoBeacon2,-36
PicoBeacon1,-80
PicoBeacon2,-33
PicoBeacon1,-70
PicoBeacon2,-36
PicoBeacon2,-25
PicoBeacon1,-69
PicoBeacon1,-73
PicoBeacon2,-31
PicoBeacon2,-33
PicoBeacon1,-70
PicoBeacon2,-32
PicoBeacon1,-61
PicoBeacon2,-37
PicoBeacon2,-33
PicoBeacon2,-33
PicoBeacon1,-57
PicoBeacon2,-34
PicoBeacon1,-56
PicoBeacon2,-35
PicoBeacon1,-74
PicoBeacon2,-38
PicoBeacon1,-72
PicoBeacon1,-77
PicoBeacon2,-25
PicoBeacon2,-31
PicoBeacon1,-79
PicoBeacon2,-33
PicoBeacon1,-71
PicoBeacon2,-31
PicoBeacon1,-76
PicoBeacon2,-32
PicoBeacon1,-57
PicoBeacon2,-33
PicoBeacon2,-37
PicoBeacon1,-72
PicoBeacon1,-59
PicoBeacon1,-73
PicoBeacon2,-34
PicoBeacon2,-25
PicoBeacon1,-70
PicoBeacon1,-72
