Beacon,RSSI
PicoBeacon2,-70
PicoBeacon2,-71
PicoBeacon1,-40
PicoBeacon2,-63
PicoBeacon1,-26
PicoBeacon2,-62
PicoBeacon1,-36
PicoBeacon2,-50
PicoBeacon2,-47
PicoBeacon1,-36
PicoBeacon2,-72
PicoBeacon2,-48
PicoBeacon1,-27
PicoBeacon2,-61
PicoBeacon1,-28
PicoBeacon2,-47
PicoBeacon1,-28
PicoBeacon2,-71
PicoBeacon1,-26
PicoBeacon2,-71
PicoBeacon1,-37
PicoBeacon2,-60
PicoBeacon2,-71
PicoBeacon2,-72
PicoBeacon1,-36
PicoBeacon2,-72
PicoBeacon1,-27
PicoBeacon2,-48
PicoBeacon2,-63
PicoBeacon1,-36
PicoBeacon2,-68
PicoBeacon1,-36
PicoBeacon2,-62
PicoBeacon1,-37
PicoBeacon1,-38
PicoBeacon2,-56
PicoBeacon1,-28
PicoBeacon1,-40
PicoBeacon2,-62
PicoBeacon2,-71
PicoBeacon2,-47
PicoBeacon1,-37
PicoBeacon2,-70
PicoBeacon1,-36
PicoBeacon1,-42
PicoBeacon2,-69
PicoBeacon1,-31
PicoBeacon2,-48
PicoBeacon1,-36
PicoBeacon2,-47
PicoBeacon1,-40
PicoBeacon1,-28
PicoBeacon2,-61
PicoBeacon1,-40
PicoBeacon1,-40
PicoBeacon1,-27
PicoBeacon2,-61
PicoBeacon1,-24
PicoBeacon2,-47
PicoBeacon1,-37
PicoBeacon2,-60
PicoBeacon1,-40
PicoBeacon1,-26
PicoBeacon2,-72
PicoBeacon2,-69
PicoBeacon1,-28
PicoBeacon2,-62
PicoBeacon1,-40
PicoBeacon2,-67
PicoBeacon1,-40
PicoBeacon2,-68
PicoBeacon1,-47
PicoBeacon2,-59
PicoBeacon2,-68
PicoBeacon1,-25
PicoBeacon2,-71
PicoBeacon2,-68
PicoBeacon1,-39
PicoBeacon1,-40
PicoBeacon2,-47
PicoBeacon2,-62
PicoBeacon1,-40
PicoBeacon2,-61
PicoBeacon1,-39
PicoBeacon2,-71
PicoBeacon2,-62
PicoBeacon1,-52
PicoBeacon2,-71
PicoBeacon1,-43
PicoBeacon2,-53
PicoBeacon1,-26
PicoBeacon1,-28
PicoBeacon2,-57
PicoBeacon1,-28
PicoBeacon2,-47
PicoBeacon1,-36
PicoBeacon1,-36
PicoBeacon2,-56
PicoBeacon1,-43
PicoBeacon2,-61
PicoBeacon1,-40
PicoBeacon2,-54
PicoBeacon1,-38
PicoBeacon2,-46
PicoBeacon1,-37
PicoBeacon2,-45
PicoBeacon2,-78
PicoBeacon1,-28
PicoBeacon2,-49
PicoBeacon2,-50
PicoBeacon1,-40
PicoBeacon2,-57
PicoBeacon1,-48
PicoBeacon1,-28
PicoBeacon1,-40
PicoBeacon2,-65
PicoBeacon1,-28
PicoBeacon2,-50
PicoBeacon1,-37
PicoBeacon2,-71
PicoBeacon1,-37
PicoBeacon2,-50
PicoBeacon2,-72
PicoBeacon2,-62
PicoBeacon1,-40
PicoBeacon2,-63
PicoBeacon2,-68
PicoBeacon2,-49
