Beacon,RSSI
PicoBeacon2,-63
PicoBeacon1,-35
PicoBeacon1,-27
PicoBeacon2,-66
PicoBeacon2,-66
PicoBeacon1,-42
PicoBeacon2,-62
PicoBeacon1,-43
PicoBeacon2,-63
PicoBeacon1,-42
PicoBeacon2,-51
PicoBeacon2,-48
PicoBeacon1,-30
PicoBeacon2,-62
PicoBeacon1,-37
PicoBeacon2,-50
PicoBeacon1,-40
PicoBeacon2,-48
PicoBeacon1,-42
PicoBeacon1,-40
PicoBeacon2,-64
PicoBeacon1,-43
PicoBeacon2,-50
PicoBeacon1,-25
PicoBeacon2,-63
PicoBeacon1,-43
PicoBeacon2,-65
PicoBeacon1,-21
PicoBeacon2,-71
PicoBeacon2,-47
PicoBeacon1,-35
PicoBeacon2,-73
PicoBeacon1,-30
PicoBeacon2,-64
PicoBeacon1,-35
PicoBeacon1,-32
PicoBeacon2,-52
PicoBeacon1,-36
PicoBeacon2,-62
PicoBeacon1,-30
PicoBeacon2,-51
PicoBeacon1,-26
PicoBeacon2,-79
PicoBeacon1,-28
PicoBeacon2,-62
PicoBeacon2,-64
PicoBeacon1,-37
PicoBeacon1,-36
PicoBeacon2,-48
PicoBeacon1,-36
PicoBeacon2,-47
PicoBeacon2,-52
PicoBeacon1,-37
PicoBeacon1,-36
PicoBeacon1,-37
PicoBeacon2,-49
PicoBeacon2,-50
PicoBeacon1,-25
PicoBeacon2,-62
PicoBeacon2,-62
PicoBeacon1,-44
PicoBeacon2,-62
PicoBeacon1,-38
PicoBeacon2,-65
PicoBeacon1,-38
PicoBeacon1,-43
PicoBeacon2,-50
PicoBeacon2,-61
PicoBeacon2,-65
PicoBeacon2,-64
PicoBeacon2,-50
PicoBeacon1,-29
PicoBeacon2,-64
PicoBeacon1,-41
PicoBeacon2,-67
PicoBeacon2,-48
PicoBeacon1,-43
PicoBeacon1,-38
PicoBeacon2,-63
PicoBeacon1,-35
PicoBeacon2,-51
PicoBeacon1,-35
PicoBeacon2,-49
PicoBeacon2,-68
PicoBeacon1,-28
PicoBeacon2,-52
PicoBeacon1,-41
PicoBeacon2,-65
PicoBeacon2,-67
PicoBeacon1,-28
PicoBeacon1,-44
PicoBeacon2,-49
PicoBeacon1,-42
PicoBeacon2,-64
PicoBeacon2,-48
PicoBeacon1,-28
PicoBeacon2,-50
PicoBeacon2,-68
PicoBeacon2,-48
PicoBeacon2,-47
PicoBeacon1,-43
PicoBeacon2,-64
PicoBeacon2,-67
PicoBeacon2,-64
PicoBeacon1,-29
PicoBeacon1,-25
PicoBeacon2,-63
PicoBeacon2,-67
PicoBeacon1,-32
PicoBeacon2,-50
PicoBeacon1,-43
PicoBeacon2,-51
PicoBeacon1,-43
PicoBeacon2,-65
PicoBeacon1,-37
