Beacon,RSSI
PicoBeacon1,-42
PicoBeacon2,-57
PicoBeacon1,-53
PicoBeacon2,-58
PicoBeacon1,-52
PicoBeacon2,-70
PicoBeacon1,-53
PicoBeacon2,-55
PicoBeacon1,-36
PicoBeacon2,-55
PicoBeacon1,-43
PicoBeacon1,-57
PicoBeacon2,-71
PicoBeacon1,-37
PicoBeacon2,-72
PicoBeacon1,-41
PicoBeacon2,-43
PicoBeacon1,-37
PicoBeacon1,-51
PicoBeacon1,-57
PicoBeacon2,-55
PicoBeacon1,-52
PicoBeacon2,-40
PicoBeacon2,-56
PicoBeacon1,-37
PicoBeacon2,-58
PicoBeacon2,-59
PicoBeacon1,-52
PicoBeacon2,-40
PicoBeacon2,-44
PicoBeacon1,-53
PicoBeacon2,-44
PicoBeacon1,-41
PicoBeacon1,-52
PicoBeacon2,-56
PicoBeacon1,-52
PicoBeacon1,-52
PicoBeacon2,-43
PicoBeacon1,-42
PicoBeacon2,-55
PicoBeacon2,-49
PicoBeacon1,-37
PicoBeacon2,-59
PicoBeacon2,-55
PicoBeacon1,-52
PicoBeacon1,-42
PicoBeacon2,-58
PicoBeacon1,-42
PicoBeacon1,-41
PicoBeacon2,-44
PicoBeacon2,-70
PicoBeacon1,-50
PicoBeacon2,-71
PicoBeacon1,-41
PicoBeacon2,-55
PicoBeacon1,-57
PicoBeacon2,-54
PicoBeacon1,-47
PicoBeacon2,-69
PicoBeacon1,-38
PicoBeacon2,-58
PicoBeacon1,-42
PicoBeacon2,-57
PicoBeacon1,-42
PicoBeacon2,-70
PicoBeacon1,-52
PicoBeacon1,-38
PicoBeacon2,-55
PicoBeacon1,-56
PicoBeacon2,-40
PicoBeacon2,-72
PicoBeacon1,-52
PicoBeacon1,-52
PicoBeacon2,-71
PicoBeacon2,-55
PicoBeacon1,-53
PicoBeacon2,-58
PicoBeacon1,-37
PicoBeacon1,-56
PicoBeacon2,-58
PicoBeacon2,-72
PicoBeacon1,-52
PicoBeacon1,-55
PicoBeacon1,-52
PicoBeacon2,-72
PicoBeacon1,-48
PicoBeacon2,-55
PicoBeacon2,-58
PicoBeacon1,-55
PicoBeacon2,-44
PicoBeacon2,-55
PicoBeacon1,-42
PicoBeacon2,-42
PicoBeacon1,-53
PicoBeacon2,-41
PicoBeacon1,-37
PicoBeacon2,-45
PicoBeacon1,-42
PicoBeacon1,-38
PicoBeacon1,-54
PicoBeacon2,-40
PicoBeacon2,-75
PicoBeacon1,-52
PicoBeacon2,-55
PicoBeacon1,-42
PicoBeacon2,-40
PicoBeacon2,-59
PicoBeacon1,-53
PicoBeacon2,-58
PicoBeacon2,-44
PicoBeacon1,-37
PicoBeacon2,-41
PicoBeacon2,-76
PicoBeacon1,-42
PicoBeacon2,-57
PicoBeacon2,-39
PicoBeacon2,-58
PicoBeacon1,-37
PicoBeacon2,-45
