Beacon,RSSI
PicoBeacon1,-33
PicoBeacon2,-64
PicoBeacon2,-48
PicoBeacon2,-73
PicoBeacon1,-35
PicoBeacon2,-72
PicoBeacon1,-36
PicoBeacon1,-39
PicoBeacon1,-37
PicoBeacon2,-48
PicoBeacon1,-36
PicoBeacon2,-72
PicoBeacon1,-52
PicoBeacon2,-72
PicoBeacon2,-57
PicoBeacon2,-56
PicoBeacon1,-48
PicoBeacon2,-70
PicoBeacon1,-37
PicoBeacon1,-39
PicoBeacon1,-37
PicoBeacon2,-48
PicoBeacon2,-73
PicoBeacon1,-51
PicoBeacon1,-37
PicoBeacon1,-38
PicoBeacon2,-63
PicoBeacon1,-49
PicoBeacon1,-51
PicoBeacon1,-39
PicoBeacon2,-70
PicoBeacon1,-52
PicoBeacon1,-36
PicoBeacon1,-37
PicoBeacon2,-55
PicoBeacon2,-48
PicoBeacon1,-51
PicoBeacon2,-70
PicoBeacon2,-56
PicoBeacon1,-52
PicoBeacon2,-57
PicoBeacon1,-52
PicoBeacon2,-57
PicoBeacon1,-35
PicoBeacon1,-51
PicoBeacon1,-36
PicoBeacon2,-68
PicoBeacon1,-49
PicoBeacon2,-54
PicoBeacon1,-35
PicoBeacon2,-71
PicoBeacon1,-37
PicoBeacon2,-73
PicoBeacon1,-52
PicoBeacon2,-58
PicoBeacon2,-58
PicoBeacon1,-39
PicoBeacon2,-59
PicoBeacon1,-35
PicoBeacon2,-63
PicoBeacon1,-52
PicoBeacon2,-72
PicoBeacon1,-46
PicoBeacon2,-72
PicoBeacon1,-48
PicoBeacon1,-36
PicoBeacon2,-73
PicoBeacon1,-36
PicoBeacon2,-49
PicoBeacon2,-62
PicoBeacon2,-48
PicoBeacon1,-52
PicoBeacon2,-58
PicoBeacon2,-73
PicoBeacon1,-36
PicoBeacon2,-49
PicoBeacon2,-63
PicoBeacon2,-58
PicoBeacon2,-71
PicoBeacon2,-48
PicoBeacon1,-36
PicoBeacon2,-58
PicoBeacon1,-52
PicoBeacon2,-63
PicoBeacon1,-51
PicoBeacon2,-63
PicoBeacon1,-36
PicoBeacon2,-63
PicoBeacon1,-37
PicoBeacon2,-72
PicoBeacon2,-72
PicoBeacon1,-35
PicoBeacon2,-73
PicoBeacon1,-51
PicoBeacon2,-72
PicoBeacon2,-47
PicoBeacon1,-49
PicoBeacon2,-63
PicoBeacon1,-46
PicoBeacon2,-63
PicoBeacon2,-71
PicoBeacon1,-47
PicoBeacon1,-36
PicoBeacon2,-49
PicoBeacon2,-70
PicoBeacon1,-34
PicoBeacon1,-49
PicoBeacon1,-33
PicoBeacon1,-34
PicoBeacon2,-71
PicoBeacon1,-53
PicoBeacon2,-64
PicoBeacon2,-48
PicoBeacon1,-51
PicoBeacon1,-51
PicoBeacon2,-57
PicoBeacon1,-38
PicoBeacon2,-63
PicoBeacon1,-41
PicoBeacon2,-49
PicoBeacon1,-51
PicoBeacon1,-37
PicoBeacon2,-55
PicoBeacon1,-47
PicoBeacon2,-63
PicoBeacon2,-69
PicoBeacon1,-35
PicoBeacon2,-70
PicoBeacon1,-51
