Beacon,RSSI
PicoBeacon2,-72
PicoBeacon1,-28
PicoBeacon2,-50
PicoBeacon1,-25
PicoBeacon2,-65
PicoBeacon2,-55
PicoBeacon1,-24
PicoBeacon2,-60
PicoBeacon1,-27
PicoBeacon2,-69
PicoBeacon2,-64
PicoBeacon2,-55
PicoBeacon2,-68
PicoBeacon2,-51
PicoBeacon2,-69
PicoBeacon2,-67
PicoBeacon1,-24
PicoBeacon2,-55
PicoBeacon1,-26
PicoBeacon1,-25
PicoBeacon2,-70
PicoBeacon2,-65
PicoBeacon1,-25
PicoBeacon2,-67
PicoBeacon2,-66
PicoBeacon2,-65
PicoBeacon1,-25
PicoBeacon1,-24
PicoBeacon2,-56
PicoBeacon2,-54
PicoBeacon1,-25
PicoBeacon2,-51
PicoBeacon2,-68
PicoBeacon2,-68
PicoBeacon2,-68
PicoBeacon1,-24
PicoBeacon2,-53
PicoBeacon1,-24
PicoBeacon1,-24
PicoBeacon2,-53
PicoBeacon2,-55
PicoBeacon2,-69
PicoBeacon1,-23
PicoBeacon2,-56
PicoBeacon1,-25
PicoBeacon2,-55
PicoBeacon2,-66
PicoBeacon1,-25
PicoBeacon1,-26
PicoBeacon2,-50
PicoBeacon2,-78
PicoBeacon1,-25
PicoBeacon2,-51
PicoBeacon1,-28
PicoBeacon2,-69
PicoBeacon1,-25
PicoBeacon2,-68
PicoBeacon2,-66
PicoBeacon1,-24
PicoBeacon2,-51
PicoBeacon2,-71
PicoBeacon2,-68
PicoBeacon2,-68
PicoBeacon1,-24
PicoBeacon1,-28
PicoBeacon2,-71
PicoBeacon1,-28
PicoBeacon2,-77
PicoBeacon2,-53
PicoBeacon2,-61
PicoBeacon1,-24
PicoBeacon2,-71
PicoBeacon1,-24
PicoBeacon1,-25
PicoBeacon2,-61
PicoBeacon2,-48
PicoBeacon1,-26
PicoBeacon2,-54
PicoBeacon1,-24
PicoBeacon2,-73
PicoBeacon1,-25
PicoBeacon2,-59
PicoBeacon1,-25
PicoBeacon2,-62
PicoBeacon2,-77
PicoBeacon1,-28
PicoBeacon2,-61
PicoBeacon2,-62
PicoBeacon1,-24
PicoBeacon2,-72
PicoBeacon1,-24
PicoBeacon1,-24
PicoBeacon1,-26
PicoBeacon1,-28
PicoBeacon2,-75
PicoBeacon2,-57
