Beacon,RSSI
PicoBeacon1,-54
PicoBeacon1,-42
PicoBeacon2,-47
PicoBeacon1,-64
PicoBeacon2,-43
PicoBeacon1,-55
PicoBeacon1,-62
PicoBeacon2,-65
PicoBeacon1,-40
PicoBeacon2,-43
PicoBeacon2,-69
PicoBeacon1,-60
PicoBeacon1,-63
PicoBeacon2,-44
PicoBeacon1,-47
PicoBeacon2,-58
PicoBeacon1,-47
PicoBeacon1,-41
PicoBeacon2,-59
PicoBeacon1,-62
PicoBeacon1,-45
PicoBeacon2,-58
PicoBeacon2,-44
PicoBeacon2,-51
PicoBeacon2,-52
PicoBeacon1,-56
PicoBeacon2,-58
PicoBeacon1,-61
PicoBeacon2,-51
PicoBeacon1,-49
PicoBeacon2,-51
PicoBeacon1,-46
PicoBeacon2,-44
PicoBeacon1,-61
PicoBeacon2,-59
PicoBeacon1,-57
PicoBeacon2,-58
PicoBeacon1,-47
PicoBeacon1,-61
PicoBeacon2,-58
PicoBeacon1,-64
PicoBeacon2,-58
PicoBeacon1,-49
PicoBeacon2,-63
PicoBeacon1,-63
PicoBeacon2,-43
PicoBeacon2,-59
PicoBeacon2,-42
PicoBeacon2,-44
PicoBeacon2,-59
PicoBeacon1,-47
PicoBeacon1,-42
PicoBeacon1,-61
PicoBeacon2,-58
PicoBeacon1,-56
PicoBeacon2,-58
PicoBeacon1,-48
PicoBeacon2,-51
PicoBeacon2,-58
PicoBeacon1,-42
PicoBeacon1,-46
PicoBeacon2,-51
PicoBeacon1,-56
PicoBeacon2,-67
PicoBeacon1,-59
PicoBeacon1,-48
PicoBeacon2,-43
PicoBeacon1,-62
PicoBeacon2,-58
PicoBeacon1,-56
PicoBeacon2,-58
PicoBeacon2,-57
PicoBeacon1,-42
PicoBeacon2,-43
PicoBeacon2,-50
PicoBeacon2,-57
PicoBeacon1,-61
PicoBeacon2,-59
PicoBeacon2,-49
PicoBeacon1,-55
PicoBeacon2,-49
PicoBeacon2,-43
PicoBeacon1,-57
PicoBeacon2,-43
PicoBeacon1,-56
PicoBeacon2,-58
PicoBeacon1,-57
PicoBeacon2,-64
PicoBeacon1,-47
PicoBeacon1,-47
PicoBeacon2,-43
PicoBeacon1,-47
PicoBeacon2,-49
PicoBeacon2,-63
PicoBeacon1,-64
PicoBeacon2,-58
PicoBeacon1,-55
PicoBeacon2,-62
PicoBeacon1,-49
PicoBeacon2,-41
PicoBeacon1,-41
PicoBeacon2,-58
PicoBeacon1,-41
PicoBeacon1,-55
PicoBeacon2,-43
PicoBeacon1,-40
PicoBeacon2,-50
PicoBeacon1,-40
PicoBeacon2,-65
PicoBeacon1,-56
PicoBeacon2,-66
PicoBeacon2,-58
PicoBeacon1,-64
PicoBeacon2,-57
PicoBeacon1,-63
PicoBeacon2,-64
PicoBeacon2,-49
PicoBeacon1,-64
PicoBeacon2,-59
PicoBeacon1,-48
PicoBeacon2,-58
PicoBeacon1,-41
PicoBeacon2,-43
PicoBeacon1,-63
PicoBeacon1,-65
