Beacon,RSSI
PicoBeacon1,-54
PicoBeacon2,-47
PicoBeacon2,-67
PicoBeacon2,-53
PicoBeacon2,-53
PicoBeacon1,-54
PicoBeacon2,-62
PicoBeacon1,-47
PicoBeacon2,-47
PicoBeacon2,-62
PicoBeacon1,-53
PicoBeacon1,-39
PicoBeacon2,-61
PicoBeacon1,-55
PicoBeacon2,-49
PicoBeacon1,-39
PicoBeacon2,-64
PicoBeacon2,-52
PicoBeacon1,-55
PicoBeacon1,-54
PicoBeacon1,-45
PicoBeacon1,-55
PicoBeacon2,-62
PicoBeacon2,-48
PicoBeacon1,-54
PicoBeacon2,-67
PicoBeacon1,-62
PicoBeacon1,-47
PicoBeacon2,-67
PicoBeacon1,-55
PicoBeacon2,-52
PicoBeacon1,-62
PicoBeacon2,-66
PicoBeacon1,-39
PicoBeacon2,-62
PicoBeacon1,-54
PicoBeacon2,-62
PicoBeacon2,-63
PicoBeacon2,-62
PicoBeacon1,-62
PicoBeacon1,-54
PicoBeacon2,-65
PicoBeacon1,-62
PicoBeacon2,-63
PicoBeacon1,-54
PicoBeacon2,-49
PicoBeacon1,-55
PicoBeacon2,-58
PicoBeacon2,-52
PicoBeacon1,-54
PicoBeacon2,-62
PicoBeacon1,-47
PicoBeacon2,-63
PicoBeacon1,-56
PicoBeacon2,-48
PicoBeacon1,-49
PicoBeacon2,-67
PicoBeacon1,-55
PicoBeacon1,-56
PicoBeacon1,-45
PicoBeacon2,-67
PicoBeacon1,-59
PicoBeacon1,-54
PicoBeacon2,-48
PicoBeacon1,-55
PicoBeacon2,-47
PicoBeacon1,-41
PicoBeacon1,-60
PicoBeacon2,-63
PicoBeacon1,-60
PicoBeacon2,-67
PicoBeacon1,-54
PicoBeacon2,-65
PicoBeacon2,-62
PicoBeacon1,-60
PicoBeacon2,-71
PicoBeacon1,-59
PicoBeacon1,-59
PicoBeacon2,-52
PicoBeacon1,-38
PicoBeacon2,-62
PicoBeacon2,-48
PicoBeacon1,-39
PicoBeacon1,-45
PicoBeacon2,-52
PicoBeacon1,-45
PicoBeacon1,-59
PicoBeacon2,-63
PicoBeacon1,-59
PicoBeacon2,-62
PicoBeacon1,-38
PicoBeacon2,-62
PicoBeacon2,-63
PicoBeacon1,-41
PicoBeacon2,-62
PicoBeacon2,-63
PicoBeacon1,-44
PicoBeacon1,-39
PicoBeacon1,-60
PicoBeacon2,-62
PicoBeacon1,-54
PicoBeacon2,-48
PicoBeacon2,-64
PicoBeacon1,-54
PicoBeacon2,-62
PicoBeacon1,-58
PicoBeacon2,-47
PicoBeacon2,-49
PicoBeacon2,-64
PicoBeacon1,-41
PicoBeacon2,-53
PicoBeacon2,-50
PicoBeacon1,-54
PicoBeacon1,-61
PicoBeacon1,-55
