Beacon,RSSI
PicoBeacon1,-71
PicoBeacon1,-50
PicoBeacon2,-23
PicoBeacon1,-48
PicoBeacon1,-75
PicoBeacon1,-70
PicoBeacon1,-55
PicoBeacon1,-71
PicoBeacon2,-25
PicoBeacon1,-66
PicoBeacon1,-72
PicoBeacon1,-72
PicoBeacon2,-23
PicoBeacon2,-26
PicoBeacon2,-24
PicoBeacon1,-57
PicoBeacon1,-66
PicoBeacon2,-26
PicoBeacon2,-26
PicoBeacon1,-52
PicoBeacon2,-23
PicoBeacon1,-50
PicoBeacon1,-67
PicoBeacon1,-50
PicoBeacon2,-25
PicoBeacon2,-25
PicoBeacon2,-26
PicoBeacon1,-69
PicoBeacon1,-65
PicoBeacon1,-72
PicoBeacon2,-26
PicoBeacon1,-66
PicoBeacon1,-72
PicoBeacon2,-24
PicoBeacon2,-27
PicoBeacon1,-68
PicoBeacon2,-26
PicoBeacon1,-56
PicoBeacon1,-68
PicoBeacon2,-26
PicoBeacon1,-52
PicoBeacon2,-25
PicoBeacon1,-56
PicoBeacon2,-23
PicoBeacon2,-24
PicoBeacon1,-67
PicoBeacon1,-58
PicoBeacon1,-66
PicoBeacon1,-65
PicoBeacon1,-65
PicoBeacon2,-25
PicoBeacon1,-68
PicoBeacon2,-25
PicoBeacon1,-72
PicoBeacon1,-71
PicoBeacon1,-71
PicoBeacon1,-59
PicoBeacon2,-25
PicoBeacon2,-26
PicoBeacon1,-57
PicoBeacon1,-69
PicoBeacon2,-23
PicoBeacon1,-71
PicoBeacon2,-26
PicoBeacon1,-72
PicoBeacon1,-67
PicoBeacon2,-26
PicoBeacon1,-50
PicoBeacon2,-25
PicoBeacon1,-73
PicoBeacon2,-26
PicoBeacon1,-51
PicoBeacon1,-55
PicoBeacon1,-65
PicoBeacon2,-26
PicoBeacon1,-51
PicoBeacon1,-65
PicoBeacon1,-72
PicoBeacon1,-56
PicoBeacon2,-24
PicoBeacon1,-67
PicoBeacon2,-25
PicoBeacon2,-26
PicoBeacon1,-70
PicoBeacon1,-68
PicoBeacon2,-24
PicoBeacon1,-72
PicoBeacon1,-69
PicoBeacon2,-26
PicoBeacon2,-26
PicoBeacon1,-63
PicoBeacon2,-26
PicoBeacon1,-58
PicoBeacon2,-26
PicoBeacon1,-65
PicoBeacon1,-71
PicoBeacon1,-49
