20,-53
20,-49
20,-49
20,-49
20,-53
20,-52
20,-49
20,-49
20,-49
20,-53
20,-52
20,-52
20,-49
20,-53
20,-52
20,-51
20,-50
20,-49
20,-53
20,-53
20,-49
20,-52
20,-53
20,-54
20,-53
20,-50
20,-48
20,-48
20,-54
20,-49
20,-48
20,-52
20,-49
20,-48
20,-48
20,-49
20,-52
20,-54
20,-52
20,-49
20,-52
20,-50
20,-48
20,-48
20,-49
20,-53
20,-49
20,-49
20,-49
20,-49
20,-49
20,-49
20,-48
20,-53
20,-53
20,-53
20,-49
20,-51
20,-48
20,-48
20,-53
20,-53
20,-49
20,-49
20,-48
20,-48
20,-53
20,-48
20,-48
20,-53
20,-53
20,-49
20,-49
20,-53
20,-49
20,-49
20,-49
20,-53
20,-53
20,-49
20,-48
20,-49
20,-53
20,-53
20,-53
20,-49
20,-49
20,-48
20,-54
20,-49
20,-49
20,-49
20,-49
20,-53
20,-53
20,-49
20,-48
20,-53
20,-49
20,-49
20,-49
20,-48
20,-53
20,-53
20,-53
20,-52
20,-52
20,-49
20,-48
20,-54
20,-52
20,-49
20,-49
20,-49
20,-49
20,-53
20,-49
20,-49
20,-49
20,-49
20,-49
20,-53
20,-49
20,-49
20,-49
20,-53
20,-49
20,-49
20,-49
20,-53
20,-49
20,-49
20,-53
20,-53
20,-53
20,-49
20,-51
20,-51
20,-49
20,-48
20,-48
20,-48
20,-53
20,-53
20,-49
20,-49
20,-49
20,-49
20,-49
20,-53
20,-53
20,-49
20,-48
20,-48
20,-53
20,-53
20,-49
20,-49
20,-48
20,-53
40,-54
40,-53
40,-49
40,-49
40,-47
40,-48
40,-52
40,-51
40,-53
40,-47
40,-47
40,-52
40,-48
40,-48
40,-49
40,-48
40,-52
40,-48
40,-48
40,-49
40,-48
40,-53
40,-52
40,-54
40,-50
40,-49
40,-49
40,-53
40,-48
40,-47
40,-48
40,-48
40,-48
40,-47
40,-48
40,-53
40,-49
40,-49
40,-49
40,-48
40,-52
40,-53
40,-52
40,-52
40,-47
40,-48
40,-48
40,-48
40,-48
40,-53
40,-47
40,-47
40,-47
40,-49
40,-48
40,-52
40,-49
40,-49
