x,y,b1,b2,b3
3,1,-58,-66,-58
3,1,-58,-55,-58
3,1,-58,-55,-58
3,1,-77,-55,-58
3,1,-77,-55,-50
3,1,-77,-70,-50
3,1,-77,-70,-42
3,1,-77,-70,-49
3,1,-77,-56,-49
3,1,-72,-56,-49
3,1,-72,-66,-49
3,1,-72,-66,-64
3,1,-72,-64,-64
3,1,-72,-64,-58
3,1,-78,-64,-58
3,1,-78,-74,-58
3,1,-78,-74,-49
3,1,-78,-63,-49
3,1,-78,-63,-47
3,1,-75,-63,-47
3,1,-75,-63,-65
3,1,-75,-63,-46
3,1,-58,-63,-46
3,1,-58,-74,-46
3,1,-58,-74,-49
3,1,-58,-69,-49
3,1,-58,-69,-46
3,1,-70,-69,-46
3,1,-70,-69,-60
3,1,-80,-69,-60
3,1,-80,-63,-60
3,1,-80,-63,-51
3,1,-80,-55,-51
3,1,-80,-61,-51
3,1,-80,-61,-53
3,1,-65,-61,-53
3,1,-65,-61,-32
3,1,-75,-61,-32
3,1,-75,-61,-35
3,1,-67,-61,-35
3,1,-67,-52,-35
3,1,-67,-52,-52
3,1,-67,-63,-52
3,1,-67,-63,-54
3,1,-56,-63,-54
3,1,-56,-63,-43
3,1,-56,-63,-43
3,1,-62,-63,-43
3,1,-62,-63,-56
3,1,-62,-66,-56
3,1,-51,-66,-56
3,1,-51,-66,-54
3,1,-51,-52,-54
3,1,-68,-52,-54
3,1,-68,-62,-54
3,1,-68,-62,-54
3,1,-65,-62,-54
3,1,-65,-60,-54
3,1,-72,-60,-54
3,1,-72,-47,-54
3,1,-72,-47,-50
3,1,-67,-47,-50
3,1,-67,-49,-50
3,1,-67,-49,-49
3,1,-67,-69,-49
3,1,-67,-69,-34
3,1,-58,-69,-34
3,1,-58,-53,-34
3,1,-58,-53,-49
3,1,-58,-53,-39
3,1,-55,-53,-39
3,1,-55,-49,-39
3,1,-55,-49,-35
3,1,-55,-53,-35
3,1,-53,-53,-35
3,1,-53,-53,-38
3,1,-53,-62,-38
3,1,-66,-62,-38
3,1,-66,-62,-33
3,1,-66,-51,-33
3,1,-66,-51,-45
3,1,-67,-51,-45
3,1,-67,-62,-45
3,1,-51,-62,-45
3,1,-51,-62,-52
3,1,-51,-65,-52
3,1,-51,-50,-52
3,1,-51,-50,-52
3,1,-72,-50,-52
3,1,-72,-67,-52
3,1,-72,-67,-32
3,1,-72,-67,-33
3,1,-66,-67,-33
3,1,-66,-66,-33
3,1,-66,-66,-35
3,1,-66,-72,-35
3,1,-66,-72,-33
3,1,-69,-72,-33
3,1,-69,-72,-48
3,1,-69,-55,-48
3,1,-69,-55,-34
3,1,-45,-55,-34
3,1,-45,-52,-34
3,1,-45,-52,-38
3,1,-62,-52,-38
3,1,-62,-52,-38
3,1,-62,-52,-35
3,1,-67,-52,-35
3,1,-67,-52,-55
3,1,-67,-49,-55
3,1,-66,-49,-55
3,1,-66,-49,-41
3,1,-66,-50,-41
3,1,-66,-50,-59
3,1,-66,-48,-59
3,1,-72,-48,-59
3,1,-72,-48,-58
3,1,-72,-49,-58
3,1,-55,-49,-58
3,1,-57,-49,-58
3,1,-57,-49,-51
3,1,-57,-36,-51
3,1,-65,-36,-51
3,1,-65,-36,-71
3,1,-65,-33,-71
3,1,-49,-33,-71
3,1,-49,-33,-56
3,1,-49,-45,-56
3,1,-65,-45,-56
3,1,-65,-45,-61
3,1,-65,-47,-61
3,1,-48,-47,-61
3,1,-48,-34,-61
3,1,-48,-34,-62
3,1,-51,-34,-62
3,1,-51,-32,-62
3,1,-51,-32,-55
3,1,-51,-50,-55
3,1,-59,-50,-55
3,1,-59,-50,-70
3,1,-51,-50,-70
3,1,-51,-50,-65
3,1,-51,-50,-55
3,1,-59,-50,-55
3,1,-59,-36,-55
3,1,-59,-36,-56
3,1,-66,-36,-56
3,1,-66,-36,-58
3,1,-66,-25,-58
3,1,-66,-25,-56
3,1,-66,-54,-56
3,1,-69,-54,-56
3,1,-69,-54,-53
3,1,-69,-54,-53
3,1,-58,-54,-53
3,1,-58,-37,-53
3,1,-58,-37,-59
3,1,-53,-37,-59
3,1,-53,-37,-54
3,1,-59,-37,-54
3,1,-59,-37,-48
3,1,-50,-37,-48
3,1,-50,-45,-48
3,1,-50,-45,-71
3,1,-51,-45,-71
3,1,-51,-30,-71
3,1,-51,-30,-47
3,1,-51,-32,-47
3,1,-51,-43,-47
3,1,-55,-43,-47
3,1,-55,-43,-68
3,1,-55,-43,-68
3,1,-55,-43,-53
3,1,-55,-32,-53
3,1,-72,-32,-53
3,1,-72,-32,-44
3,1,-72,-32,-57
3,1,-72,-44,-57
