dist,rssi
100,-70
100,-58
150,-61
150,-59
150,-60
150,-64
150,-66
150,-63
150,-68
150,-67
150,-62
150,-63
150,-64
150,-66
150,-64
150,-66
150,-64
150,-62
150,-60
150,-59
150,-59
150,-64
150,-62
150,-61
150,-61
150,-59
150,-60
150,-62
150,-57
150,-62
150,-64
150,-60
150,-62
150,-65
150,-64
150,-63
150,-69
150,-69
150,-63
150,-64
150,-64
150,-66
150,-63
150,-64
150,-67
150,-67
150,-63
150,-62
150,-61
150,-64
150,-65
150,-64
150,-67
150,-65
150,-61
150,-62
150,-61
150,-62
150,-62
150,-61
150,-61
150,-62
150,-64
150,-63
150,-62
150,-61
150,-61
150,-61
150,-62
150,-64
150,-63
150,-61
150,-62
150,-59
150,-59
150,-62
150,-60
150,-58
150,-60
150,-60
150,-60
150,-63
150,-61
150,-62
150,-61
150,-60
150,-60
150,-64
150,-61
150,-62
150,-58
150,-58
150,-57
150,-60
150,-62
150,-61
150,-61
150,-60
150,-63
150,-61
150,-62
150,-61
150,-61
150,-58
150,-58
150,-62
150,-62
150,-61
150,-59
150,-60
150,-62
150,-62
150,-60
150,-61
150,-59
150,-59
150,-61
150,-60
150,-61
150,-61
150,-62
150,-59
150,-62
150,-61
150,-59
150,-60
150,-61
150,-60
150,-61
150,-59
150,-59
150,-62
150,-60
150,-60
150,-60
150,-60
150,-61
150,-61
150,-60
150,-59
150,-61
150,-61
150,-62
150,-59
150,-59
150,-59
150,-61
150,-61
150,-61
150,-61
150,-59
150,-60
150,-61
150,-61
150,-61
150,-61
150,-59
150,-61
150,-61
150,-61
150,-59
150,-58
150,-63
150,-61
150,-61
150,-62
150,-61
150,-61
150,-64
150,-62
150,-61
150,-62
150,-61
150,-60
150,-67
150,-65
150,-62
150,-61
150,-62
150,-61
150,-66
150,-62
150,-61
150,-61
150,-66
150,-62
150,-61
150,-59
150,-60
150,-63
150,-62
150,-64
150,-66
150,-61
150,-60
150,-65
150,-64
150,-62
150,-61
150,-61
150,-66
150,-64
150,-65
150,-61
150,-61
150,-60
150,-67
150,-61
150,-61
150,-67
150,-66
150,-65
150,-61
150,-59
150,-66
150,-67
150,-61
150,-65
150,-62
150,-61
150,-63
150,-63
150,-59
150,-67
150,-62
150,-62
150,-60
150,-66
150,-67
150,-62
150,-61
150,-69
150,-63
150,-62
150,-66
150,-66
150,-61
150,-63
150,-62
150,-69
150,-69
150,-68
150,-62
150,-62
150,-61
150,-62
150,-62
150,-67
150,-61
150,-61
150,-62
150,-61
150,-61
150,-67
150,-67
150,-61
150,-61
150,-62
150,-62
150,-66
150,-68
150,-69
150,-61
150,-61
150,-62
150,-61
150,-66
150,-67
150,-66
150,-62
150,-67
150,-62
150,-61
150,-65
150,-61
150,-62
150,-66
150,-66
150,-67
150,-62
150,-61
150,-61
150,-62
150,-62
150,-62
150,-61
150,-61
150,-61
150,-67
150,-62
150,-62
150,-68
150,-68
150,-67
150,-68
150,-67
150,-67
150,-67
150,-62
150,-62
150,-61
150,-63
150,-66
150,-67
150,-66
150,-62
150,-62
150,-67
150,-62
150,-67
150,-67
150,-63
150,-60
150,-61
150,-68
150,-67
150,-62
150,-59
150,-60
150,-60
150,-67
150,-69
200,-67
200,-72
200,-65
200,-77
200,-67
200,-68
200,-67
200,-69
200,-71
200,-66
200,-65
200,-64
200,-71
200,-72
200,-64
200,-65
200,-65
200,-68
200,-64
200,-64
200,-67
200,-70
200,-65
200,-66
200,-68
200,-70
200,-69
200,-68
200,-68
200,-72
200,-71
200,-71
200,-68
200,-70
200,-72
200,-70
200,-70
200,-64
200,-63
200,-63
200,-69
200,-69
200,-65
200,-66
200,-63
200,-67
200,-68
200,-70
200,-65
200,-65
200,-66
200,-65
200,-63
200,-62
200,-73
200,-64
200,-70
200,-63
200,-62
200,-68
200,-62
200,-70
200,-64
200,-62
200,-63
200,-65
200,-63
200,-63
200,-62
200,-68
200,-68
200,-68
200,-63
200,-70
200,-63
200,-70
200,-66
200,-67
200,-62
200,-72
200,-70
200,-72
200,-65
200,-63
200,-71
200,-63
200,-70
200,-65
200,-66
200,-66
200,-66
200,-65
200,-63
200,-70
200,-70
200,-66
200,-67
200,-63
200,-62
200,-70
200,-71
200,-70
200,-68
200,-62
200,-70
200,-71
200,-70
200,-66
200,-67
200,-63
200,-63
200,-63
200,-69
200,-67
200,-69
200,-64
200,-68
200,-69
200,-63
200,-62
200,-69
200,-70
200,-70
200,-69
200,-63
200,-63
200,-70
200,-69
200,-70
200,-69
200,-63
200,-69
200,-69
200,-64
200,-63
200,-63
200,-69
200,-69
200,-62
200,-63
200,-70
200,-70
200,-67
200,-68
200,-69
200,-68
200,-62
200,-63
200,-69
200,-70
200,-69
200,-67
200,-62
200,-70
200,-71
200,-70
200,-69
200,-62
200,-69
200,-69
200,-64
200,-64
200,-71
200,-70
200,-71
200,-65
200,-65
200,-63
200,-70
200,-68
200,-64
200,-65
200,-72
200,-70
200,-70
