dist,rssi
50,-48
50,-43
50,-49
50,-40
50,-47
50,-40
50,-43
50,-40
50,-48
50,-40
50,-47
50,-47
50,-42
50,-48
50,-42
50,-40
50,-40
50,-47
50,-42
50,-46
50,-42
50,-40
50,-42
50,-40
50,-42
50,-47
50,-42
50,-48
50,-40
50,-42
50,-42
50,-48
50,-42
50,-42
50,-42
50,-42
50,-42
50,-47
50,-42
50,-42
50,-48
50,-42
50,-48
50,-42
50,-49
50,-40
50,-42
50,-40
50,-47
50,-42
50,-40
50,-47
50,-42
50,-43
50,-48
50,-42
50,-40
50,-42
50,-40
50,-43
50,-48
50,-42
50,-49
50,-42
50,-48
50,-42
50,-48
50,-42
50,-48
50,-42
50,-42
50,-42
50,-40
50,-43
50,-42
50,-42
50,-42
50,-48
50,-41
50,-42
50,-42
50,-49
50,-48
50,-40
50,-48
50,-42
50,-40
50,-47
50,-42
50,-48
50,-40
50,-48
50,-42
50,-49
50,-42
50,-42
50,-40
50,-46
50,-39
50,-47
50,-40
50,-47
50,-40
50,-42
50,-47
50,-39
50,-42
50,-40
50,-40
50,-42
50,-40
50,-47
50,-42
50,-48
50,-42
50,-47
50,-42
50,-39
50,-40
50,-46
50,-44
50,-44
50,-46
50,-59
50,-52
50,-56
50,-63
50,-54
50,-54
50,-51
50,-56
50,-51
50,-54
50,-55
50,-76
50,-68
50,-78
50,-75
50,-79
50,-76
50,-80
50,-72
50,-72
50,-69
50,-72
50,-70
50,-58
50,-58
50,-69
50,-70
50,-71
50,-70
50,-70
50,-71
50,-69
50,-58
50,-68
50,-70
50,-58
50,-69
50,-58
50,-71
50,-58
50,-69
50,-67
50,-58
50,-69
50,-58
50,-58
50,-68
50,-68
50,-68
50,-70
50,-68
50,-68
50,-58
50,-67
50,-57
50,-67
50,-58
50,-67
50,-57
50,-65
50,-68
50,-58
50,-68
50,-66
50,-58
50,-66
50,-66
50,-58
50,-66
50,-67
50,-65
50,-66
50,-65
50,-58
50,-59
50,-65
50,-58
50,-66
50,-57
50,-66
50,-58
50,-67
50,-64
50,-66
50,-64
50,-58
50,-65
50,-66
50,-65
50,-57
50,-61
50,-57
50,-52
50,-54
50,-46
50,-47
50,-50
50,-48
50,-49
50,-51
50,-49
50,-51
50,-46
50,-49
50,-49
50,-48
50,-45
50,-48
50,-45
50,-47
50,-46
50,-48
50,-46
50,-48
50,-44
50,-47
50,-49
50,-48
50,-50
50,-50
50,-48
50,-51
50,-48
50,-47
50,-49
50,-52
50,-52
50,-51
50,-54
50,-52
50,-54
50,-55
50,-54
50,-56
50,-54
50,-56
50,-54
50,-54
50,-54
50,-54
50,-55
50,-55
50,-54
50,-54
50,-52
50,-49
50,-55
50,-46
50,-45
50,-41
50,-44
50,-43
50,-48
50,-46
50,-48
50,-45
50,-52
50,-44
50,-46
50,-46
50,-46
50,-49
50,-54
50,-53
50,-57
50,-54
50,-55
50,-49
50,-53
50,-56
50,-50
50,-55
50,-52
50,-48
50,-53
50,-56
50,-58
50,-54
50,-58
50,-54
50,-58
50,-52
50,-54
50,-60
50,-55
50,-61
50,-56
50,-54
50,-60
50,-54
50,-55
50,-55
50,-55
50,-54
50,-59
50,-56
50,-56
50,-55
50,-57
50,-47
50,-44
50,-53
50,-45
50,-56
50,-49
50,-51
50,-46
50,-41
50,-44
50,-44
50,-45
50,-45
50,-46
50,-48
50,-48
50,-53
50,-57
50,-58
50,-54
50,-59
50,-61
50,-69
50,-57
50,-53
50,-50
50,-59
50,-53
50,-59
50,-56
50,-55
50,-58
50,-56
50,-57
50,-55
50,-58
50,-55
50,-58
50,-55
50,-55
50,-55
50,-55
50,-55
50,-55
50,-56
50,-57
50,-58
50,-55
50,-55
50,-56
50,-55
50,-56
50,-55
50,-56
50,-55
50,-58
50,-55
50,-55
50,-56
50,-55
50,-58
50,-56
50,-58
50,-55
50,-58
50,-56
50,-58
50,-58
50,-56
50,-58
50,-55
50,-55
50,-55
50,-55
50,-59
50,-55
50,-55
50,-58
50,-55
50,-56
50,-57
50,-55
50,-55
50,-58
50,-56
50,-56
50,-55
50,-58
50,-55
50,-58
50,-56
50,-55
50,-55
50,-56
50,-55
50,-56
50,-57
50,-55
50,-55
50,-58
50,-55
50,-55
50,-55
50,-58
50,-55
50,-59
50,-56
50,-56
50,-58
50,-55
50,-56
50,-58
50,-55
50,-56
50,-58
50,-56
50,-58
50,-55
50,-59
50,-56
50,-58
50,-56
50,-58
50,-55
50,-56
50,-55
50,-58
50,-55
50,-55
50,-55
50,-57
50,-58
50,-54
50,-58
50,-55
50,-56
50,-56
50,-55
50,-53
50,-55
50,-54
50,-54
50,-55
50,-55
50,-59
50,-52
50,-55
50,-55
50,-48
50,-52
50,-48
50,-45
50,-39
50,-45
50,-52
50,-42
50,-47
50,-41
50,-43
50,-49
50,-39
50,-43
50,-43
50,-48
50,-45
50,-48
50,-40
50,-43
50,-46
50,-45
50,-44
50,-53
50,-42
50,-44
50,-49
50,-43
50,-44
50,-41
50,-48
50,-44
50,-41
50,-44
50,-41
50,-41
50,-44
50,-41
50,-48
50,-44
50,-49
50,-45
50,-44
50,-44
50,-49
50,-50
50,-45
50,-49
50,-49
50,-44
50,-45
50,-49
50,-48
50,-41
50,-49
50,-41
50,-45
50,-49
50,-45
50,-42
50,-44
50,-49
50,-45
50,-41
50,-45
50,-41
50,-49
50,-41
50,-49
50,-41
50,-45
50,-44
50,-45
50,-41
50,-51
50,-45
50,-48
50,-45
50,-44
50,-44
50,-48
50,-45
50,-48
50,-41
50,-49
50,-44
50,-41
50,-41
50,-44
50,-41
50,-45
50,-44
50,-49
50,-44
50,-49
50,-49
50,-44
50,-51
50,-44
50,-49
50,-49
50,-44
50,-41
50,-45
50,-49
50,-44
50,-44
50,-45
50,-49
50,-49
50,-41
50,-50
50,-42
50,-45
50,-41
50,-45
50,-44
50,-45
50,-49
50,-42
50,-48
50,-41
50,-44
50,-45
50,-48
50,-44
50,-49
50,-45
50,-45
50,-48
50,-45
50,-41
50,-42
50,-49
50,-42
50,-48
50,-44
50,-49
50,-45
50,-41
50,-45
50,-41
50,-49
50,-44
50,-49
50,-44
50,-45
50,-41
50,-48
50,-45
50,-48
50,-42
50,-45
50,-42
50,-45
50,-49
50,-42
50,-49
50,-50
50,-45
50,-42
50,-45
50,-49
50,-45
50,-41
50,-51
50,-41
50,-49
50,-45
50,-48
50,-44
50,-48
50,-41
50,-42
50,-50
50,-49
50,-45
50,-48
50,-45
50,-49
50,-45
50,-48
50,-45
50,-42
50,-45
50,-44
50,-45
50,-42
50,-45
50,-42
50,-45
50,-44
50,-43
50,-42
50,-48
50,-45
50,-42
50,-45
50,-51
50,-44
50,-48
50,-42
50,-45
50,-48
50,-45
50,-41
50,-49
50,-49
50,-45
50,-48
50,-44
50,-44
50,-48
50,-45
50,-49
50,-42
50,-51
50,-41
50,-48
50,-45
50,-49
50,-42
50,-45
50,-44
50,-45
50,-41
50,-49
50,-42
50,-48
50,-44
50,-45
50,-50
50,-44
50,-49
50,-49
50,-45
50,-49
50,-45
50,-50
50,-44
50,-44
50,-44
50,-45
50,-45
50,-48
50,-45
50,-50
50,-44
50,-49
50,-47
50,-56
50,-47
100,-72
100,-55
100,-56
100,-58
100,-55
100,-55
100,-61
100,-54
100,-62
100,-55
100,-57
100,-55
100,-61
100,-59
100,-64
