x,y,b1,b2,b3
1,1,-47,-54,-38
1,1,-47,-54,-57
1,1,-47,-45,-57
1,1,-62,-45,-57
1,1,-62,-49,-57
1,1,-62,-49,-53
1,1,-62,-49,-53
1,1,-62,-49,-52
1,1,-62,-50,-52
1,1,-62,-50,-43
1,1,-63,-50,-43
1,1,-63,-50,-39
1,1,-63,-31,-39
1,1,-60,-31,-39
1,1,-60,-31,-57
1,1,-60,-31,-53
1,1,-60,-41,-53
1,1,-60,-41,-58
1,1,-60,-41,-58
1,1,-60,-41,-53
1,1,-60,-54,-53
1,1,-60,-54,-54
1,1,-60,-49,-54
1,1,-51,-49,-54
1,1,-51,-49,-38
1,1,-51,-46,-38
1,1,-51,-46,-44
1,1,-51,-35,-44
1,1,-64,-35,-44
1,1,-64,-35,-53
1,1,-64,-41,-53
1,1,-59,-41,-53
1,1,-59,-41,-58
1,1,-47,-41,-58
1,1,-47,-41,-39
1,1,-47,-45,-39
1,1,-63,-45,-39
1,1,-63,-45,-58
1,1,-49,-45,-58
1,1,-49,-45,-43
1,1,-49,-54,-43
1,1,-60,-54,-43
1,1,-60,-54,-39
1,1,-60,-49,-39
1,1,-60,-46,-39
1,1,-59,-46,-39
1,1,-59,-46,-39
1,1,-59,-31,-39
1,1,-61,-31,-39
1,1,-61,-31,-38
1,1,-61,-31,-43
1,1,-61,-54,-43
1,1,-61,-54,-54
1,1,-61,-46,-54
1,1,-49,-46,-54
1,1,-49,-46,-53
1,1,-49,-54,-53
1,1,-46,-54,-53
1,1,-46,-54,-38
1,1,-46,-50,-38
1,1,-48,-50,-38
1,1,-48,-32,-38
1,1,-59,-32,-38
1,1,-59,-32,-53
1,1,-59,-41,-53
1,1,-59,-41,-53
1,1,-59,-41,-52
1,1,-59,-45,-52
1,1,-45,-45,-52
1,1,-45,-45,-57
1,1,-45,-54,-57
1,1,-47,-54,-57
1,1,-47,-54,-38
1,1,-62,-54,-38
1,1,-62,-54,-38
1,1,-62,-54,-38
1,1,-59,-54,-38
1,1,-59,-54,-53
