x,y,b1,b2,b3
2,1,-58,-67,-61
2,1,-58,-67,-45
2,1,-58,-68,-45
2,1,-58,-68,-45
2,1,-58,-68,-45
2,1,-63,-68,-45
2,1,-63,-68,-45
2,1,-68,-68,-45
2,1,-68,-68,-64
2,1,-76,-68,-64
2,1,-76,-68,-56
2,1,-76,-60,-56
2,1,-76,-60,-58
2,1,-76,-55,-58
2,1,-57,-55,-58
2,1,-57,-51,-58
2,1,-78,-51,-58
2,1,-78,-54,-58
2,1,-78,-54,-57
2,1,-78,-54,-57
2,1,-78,-59,-57
2,1,-56,-59,-57
2,1,-56,-59,-56
2,1,-56,-67,-56
2,1,-61,-67,-56
2,1,-61,-67,-56
2,1,-61,-47,-56
2,1,-75,-47,-56
2,1,-75,-47,-57
2,1,-75,-67,-57
2,1,-76,-67,-57
2,1,-76,-67,-58
2,1,-76,-60,-58
2,1,-76,-60,-57
2,1,-76,-48,-57
2,1,-76,-48,-61
2,1,-76,-42,-61
2,1,-76,-42,-56
2,1,-76,-42,-41
2,1,-76,-56,-41
2,1,-70,-56,-41
2,1,-70,-56,-60
2,1,-70,-68,-60
2,1,-71,-68,-60
2,1,-71,-68,-56
2,1,-71,-70,-56
2,1,-56,-70,-56
2,1,-56,-70,-63
2,1,-56,-56,-63
2,1,-60,-56,-63
2,1,-60,-56,-42
2,1,-60,-57,-42
2,1,-69,-57,-42
2,1,-69,-57,-65
2,1,-69,-57,-56
2,1,-78,-57,-56
2,1,-78,-57,-65
2,1,-78,-74,-65
2,1,-78,-74,-42
2,1,-78,-44,-42
2,1,-55,-44,-42
2,1,-55,-44,-57
2,1,-55,-58,-57
2,1,-77,-58,-57
2,1,-77,-58,-50
2,1,-77,-62,-50
2,1,-60,-62,-50
2,1,-60,-62,-70
2,1,-78,-62,-70
2,1,-78,-62,-50
2,1,-78,-64,-50
2,1,-60,-64,-50
2,1,-60,-64,-57
2,1,-60,-79,-57
2,1,-78,-79,-57
2,1,-78,-79,-64
2,1,-78,-66,-64
2,1,-55,-66,-64
2,1,-55,-66,-64
2,1,-68,-66,-64
2,1,-68,-66,-58
2,1,-68,-57,-58
2,1,-55,-57,-58
2,1,-55,-57,-49
2,1,-55,-67,-49
2,1,-65,-67,-49
2,1,-65,-67,-57
2,1,-65,-58,-57
2,1,-65,-66,-57
2,1,-64,-66,-57
2,1,-64,-66,-68
2,1,-59,-66,-68
2,1,-59,-66,-64
2,1,-59,-75,-64
2,1,-67,-75,-64
2,1,-67,-58,-64
2,1,-67,-58,-43
2,1,-67,-58,-43
2,1,-71,-58,-43
2,1,-71,-78,-43
2,1,-71,-78,-64
2,1,-71,-78,-70
2,1,-71,-78,-70
2,1,-77,-78,-70
2,1,-77,-78,-63
2,1,-77,-75,-63
2,1,-72,-75,-63
2,1,-76,-75,-63
2,1,-76,-75,-64
2,1,-76,-61,-64
2,1,-60,-61,-64
2,1,-60,-77,-64
2,1,-60,-77,-50
2,1,-60,-73,-50
2,1,-73,-73,-50
2,1,-73,-76,-50
2,1,-73,-76,-64
2,1,-73,-71,-64
2,1,-73,-71,-62
2,1,-73,-75,-62
2,1,-74,-75,-62
2,1,-74,-75,-49
2,1,-74,-71,-49
2,1,-74,-71,-55
2,1,-74,-61,-55
2,1,-72,-61,-55
2,1,-72,-57,-55
2,1,-76,-57,-55
2,1,-61,-57,-55
2,1,-61,-57,-58
2,1,-61,-59,-58
2,1,-63,-59,-58
2,1,-63,-59,-50
2,1,-63,-75,-50
2,1,-61,-75,-50
2,1,-61,-45,-50
2,1,-61,-45,-64
2,1,-61,-75,-64
2,1,-71,-75,-64
2,1,-71,-75,-71
2,1,-71,-44,-71
2,1,-71,-44,-44
2,1,-71,-75,-44
2,1,-62,-75,-44
2,1,-62,-75,-72
2,1,-62,-45,-72
2,1,-73,-45,-72
2,1,-73,-45,-48
2,1,-73,-55,-48
2,1,-73,-55,-71
2,1,-73,-58,-71
2,1,-74,-58,-71
2,1,-74,-54,-71
2,1,-71,-54,-71
2,1,-71,-45,-71
2,1,-74,-45,-71
2,1,-74,-45,-44
2,1,-74,-53,-44
2,1,-74,-58,-44
2,1,-74,-58,-44
2,1,-74,-58,-44
2,1,-66,-58,-44
2,1,-66,-59,-44
2,1,-66,-59,-62
2,1,-66,-59,-60
2,1,-56,-59,-60
2,1,-56,-46,-60
2,1,-56,-46,-58
2,1,-61,-46,-58
2,1,-61,-53,-58
2,1,-61,-53,-62
2,1,-61,-58,-62
2,1,-61,-58,-59
2,1,-74,-58,-59
2,1,-74,-66,-59
2,1,-74,-66,-62
2,1,-56,-66,-62
2,1,-56,-45,-62
2,1,-56,-45,-60
2,1,-74,-45,-60
2,1,-74,-71,-60
2,1,-74,-71,-59
2,1,-66,-71,-59
2,1,-66,-50,-59
2,1,-66,-50,-73
2,1,-75,-50,-73
2,1,-75,-52,-73
2,1,-75,-52,-48
2,1,-75,-52,-73
2,1,-76,-52,-73
2,1,-76,-63,-73
2,1,-76,-63,-48
2,1,-57,-63,-48
2,1,-57,-63,-48
2,1,-57,-63,-70
2,1,-61,-63,-70
2,1,-61,-63,-62
2,1,-61,-51,-62
2,1,-61,-51,-62
2,1,-61,-71,-62
2,1,-61,-71,-61
2,1,-57,-71,-61
2,1,-57,-46,-61
2,1,-57,-46,-45
2,1,-66,-46,-45
2,1,-66,-50,-45
2,1,-66,-50,-56
2,1,-71,-50,-56
2,1,-71,-50,-60
2,1,-71,-63,-60
2,1,-71,-63,-56
2,1,-76,-63,-56
2,1,-76,-63,-47
2,1,-75,-63,-47
2,1,-75,-46,-47
2,1,-75,-46,-46
2,1,-76,-46,-46
2,1,-76,-46,-61
2,1,-68,-46,-61
2,1,-72,-46,-61
2,1,-72,-62,-61
2,1,-72,-62,-46
2,1,-61,-62,-46
2,1,-61,-58,-46
2,1,-61,-58,-46
2,1,-61,-58,-46
2,1,-61,-58,-46
2,1,-61,-59,-46
2,1,-61,-59,-60
2,1,-74,-59,-60
2,1,-74,-46,-60
2,1,-74,-46,-60
2,1,-77,-46,-60
2,1,-77,-61,-60
2,1,-77,-61,-66
2,1,-77,-59,-66
2,1,-77,-59,-62
2,1,-76,-59,-62
2,1,-76,-59,-62
2,1,-67,-59,-62
2,1,-67,-73,-62
2,1,-67,-73,-62
2,1,-72,-73,-62
