x,y,11,12,13
2,2,-59,-62,-60
2,2,-59,-62,-49
2,2,-46,-62,-49
2,2,-46,-62,-59
2,2,-44,-62,-59
2,2,-44,-47,-59
2,2,-44,-47,-65
2,2,-40,-47,-65
2,2,-40,-58,-65
2,2,-40,-58,-61
2,2,-55,-58,-61
2,2,-55,-58,-60
2,2,-54,-58,-60
2,2,-54,-58,-45
2,2,-57,-58,-45
2,2,-57,-62,-45
2,2,-57,-62,-60
2,2,-55,-62,-60
2,2,-55,-57,-60
2,2,-55,-57,-59
2,2,-59,-57,-59
2,2,-59,-47,-59
2,2,-59,-47,-70
2,2,-40,-47,-70
2,2,-40,-57,-70
2,2,-40,-57,-59
2,2,-59,-57,-59
2,2,-59,-47,-59
2,2,-41,-47,-59
2,2,-41,-57,-59
2,2,-41,-57,-65
2,2,-55,-57,-65
2,2,-55,-47,-65
2,2,-55,-47,-45
2,2,-59,-47,-45
2,2,-59,-58,-45
2,2,-59,-58,-45
2,2,-59,-62,-45
2,2,-59,-62,-45
2,2,-58,-62,-45
2,2,-58,-58,-45
2,2,-58,-58,-45
2,2,-54,-58,-45
2,2,-54,-47,-45
2,2,-54,-47,-45
2,2,-54,-56,-45
2,2,-54,-56,-64
2,2,-55,-56,-64
2,2,-55,-43,-64
2,2,-55,-43,-64
2,2,-55,-56,-64
2,2,-55,-56,-64
2,2,-55,-56,-64
2,2,-55,-56,-60
2,2,-55,-44,-60
2,2,-55,-44,-61
2,2,-45,-44,-61
2,2,-45,-58,-61
2,2,-45,-58,-60
2,2,-45,-58,-60
2,2,-45,-43,-60
2,2,-45,-43,-45
2,2,-55,-43,-45
2,2,-55,-56,-45
2,2,-55,-56,-60
2,2,-59,-56,-60
2,2,-59,-43,-60
2,2,-59,-43,-59
2,2,-55,-43,-59
2,2,-55,-43,-59
2,2,-55,-43,-59
2,2,-55,-43,-45
2,2,-55,-43,-45
2,2,-55,-47,-45
2,2,-55,-47,-60
2,2,-59,-47,-60
2,2,-41,-47,-60
2,2,-41,-62,-60
2,2,-41,-62,-64
2,2,-41,-57,-64
2,2,-55,-57,-64
2,2,-55,-57,-64
2,2,-55,-57,-63
2,2,-59,-57,-63
2,2,-59,-42,-63
2,2,-54,-42,-63
2,2,-54,-42,-49
2,2,-45,-42,-49
2,2,-45,-56,-49
2,2,-45,-56,-60
2,2,-54,-56,-60
2,2,-54,-56,-64
2,2,-59,-56,-64
2,2,-59,-57,-64
2,2,-59,-57,-61
2,2,-55,-57,-61
2,2,-55,-62,-61
2,2,-44,-62,-61
2,2,-44,-62,-59
2,2,-44,-61,-59
2,2,-44,-61,-64
2,2,-40,-61,-64
2,2,-40,-41,-64
2,2,-40,-41,-60
2,2,-41,-41,-60
2,2,-41,-43,-60
2,2,-41,-43,-64
2,2,-45,-43,-64
2,2,-45,-47,-64
2,2,-45,-47,-45
2,2,-55,-47,-45
2,2,-55,-47,-45
2,2,-55,-47,-60
2,2,-44,-47,-60
2,2,-44,-57,-60
2,2,-44,-57,-60
2,2,-44,-47,-60
2,2,-44,-47,-60
2,2,-45,-47,-60
2,2,-45,-41,-60
2,2,-45,-41,-49
2,2,-41,-41,-49
2,2,-41,-44,-49
2,2,-41,-44,-45
2,2,-56,-44,-45
2,2,-56,-47,-45
2,2,-56,-47,-49
2,2,-55,-47,-49
2,2,-55,-47,-60
2,2,-55,-61,-60
2,2,-55,-61,-44
2,2,-42,-61,-44
2,2,-42,-43,-44
2,2,-42,-43,-45
2,2,-56,-43,-45
2,2,-56,-47,-45
2,2,-56,-47,-65
2,2,-44,-47,-65
2,2,-44,-56,-65
2,2,-44,-56,-45
2,2,-55,-56,-45
2,2,-55,-47,-45
2,2,-59,-47,-45
2,2,-59,-57,-45
2,2,-59,-57,-61
2,2,-54,-57,-61
2,2,-54,-62,-61
2,2,-54,-62,-60
2,2,-45,-62,-60
2,2,-45,-43,-60
2,2,-43,-43,-60
2,2,-43,-56,-60
2,2,-43,-56,-45
2,2,-43,-43,-45
2,2,-55,-43,-45
2,2,-55,-62,-45
2,2,-55,-62,-60
2,2,-44,-62,-60
2,2,-44,-43,-60
2,2,-55,-43,-60
2,2,-55,-57,-60
2,2,-55,-57,-64
2,2,-44,-57,-64
2,2,-44,-43,-64
2,2,-44,-43,-45
2,2,-41,-43,-45
2,2,-41,-41,-45
2,2,-59,-41,-45
2,2,-59,-57,-45
2,2,-59,-57,-45
2,2,-53,-57,-45
2,2,-53,-41,-45
2,2,-53,-41,-65
2,2,-40,-41,-65
2,2,-40,-61,-65
2,2,-40,-61,-60
2,2,-45,-61,-60
2,2,-45,-61,-65
2,2,-56,-61,-65
2,2,-56,-47,-65
2,2,-56,-47,-45
2,2,-55,-47,-45
2,2,-55,-57,-45
2,2,-55,-57,-63
2,2,-40,-57,-63
2,2,-40,-47,-63
2,2,-40,-47,-61
2,2,-40,-41,-61
2,2,-40,-41,-59
2,2,-58,-41,-59
2,2,-58,-41,-63
2,2,-58,-43,-63
2,2,-58,-43,-60
2,2,-54,-43,-60
2,2,-44,-43,-60
2,2,-44,-44,-60
2,2,-44,-44,-45
2,2,-55,-44,-45
2,2,-55,-44,-61
2,2,-42,-44,-61
2,2,-42,-44,-61
2,2,-42,-44,-65
2,2,-55,-44,-65
2,2,-55,-47,-65
2,2,-55,-47,-45
2,2,-55,-47,-45
2,2,-55,-40,-45
2,2,-55,-40,-45
2,2,-59,-40,-45
2,2,-59,-61,-45
2,2,-59,-61,-61
2,2,-46,-61,-61
2,2,-46,-43,-61
2,2,-46,-43,-50
2,2,-59,-43,-50
2,2,-59,-40,-50
2,2,-59,-40,-60
2,2,-40,-40,-60
2,2,-40,-40,-50
2,2,-41,-40,-50
2,2,-41,-55,-50
2,2,-41,-55,-45
2,2,-55,-55,-45
2,2,-55,-48,-45
2,2,-55,-48,-45
2,2,-41,-48,-45
2,2,-55,-48,-45
2,2,-55,-48,-60
2,2,-55,-48,-60
2,2,-55,-43,-60
2,2,-55,-49,-60
2,2,-55,-49,-45
2,2,-41,-49,-45
2,2,-41,-49,-50
2,2,-44,-49,-50
2,2,-44,-48,-50
2,2,-44,-48,-60
2,2,-54,-48,-60
2,2,-54,-55,-60
2,2,-54,-55,-49
2,2,-44,-55,-49
2,2,-44,-48,-49
2,2,-44,-48,-45
2,2,-41,-48,-45
2,2,-41,-48,-49
2,2,-41,-48,-60
2,2,-41,-48,-62
2,2,-55,-48,-62
2,2,-55,-40,-62
2,2,-54,-40,-62
2,2,-54,-40,-60
2,2,-54,-59,-60
2,2,-54,-59,-46
2,2,-55,-59,-46
2,2,-55,-59,-45
2,2,-55,-48,-45
2,2,-55,-48,-45
2,2,-55,-48,-45
2,2,-55,-46,-45
2,2,-55,-46,-65
2,2,-59,-46,-65
2,2,-59,-63,-65
2,2,-59,-63,-45
2,2,-59,-43,-45
2,2,-55,-43,-45
2,2,-55,-43,-60
2,2,-55,-56,-60
2,2,-44,-56,-60
2,2,-44,-56,-60
2,2,-46,-56,-60
2,2,-55,-56,-60
2,2,-55,-56,-65
2,2,-55,-62,-65
2,2,-45,-62,-65
2,2,-45,-62,-61
2,2,-45,-56,-61
2,2,-41,-56,-61
2,2,-41,-56,-60
2,2,-59,-56,-60
2,2,-41,-56,-60
2,2,-41,-56,-61
2,2,-41,-57,-61
2,2,-41,-57,-63
2,2,-41,-40,-63
2,2,-55,-40,-63
2,2,-55,-40,-45
2,2,-55,-58,-45
2,2,-59,-58,-45
2,2,-59,-40,-45
2,2,-55,-40,-45
2,2,-55,-40,-60
2,2,-55,-43,-60
2,2,-54,-43,-60
2,2,-54,-43,-45
2,2,-55,-43,-45
2,2,-55,-43,-45
2,2,-55,-57,-45
2,2,-55,-57,-45
2,2,-55,-48,-45
2,2,-45,-48,-45
2,2,-45,-48,-45
2,2,-45,-57,-45
2,2,-55,-57,-45
2,2,-55,-57,-61
2,2,-55,-40,-61
2,2,-55,-40,-61
2,2,-55,-43,-61
2,2,-55,-43,-49
2,2,-55,-57,-49
2,2,-55,-57,-60
2,2,-55,-57,-60
2,2,-55,-57,-60
2,2,-55,-57,-63
2,2,-44,-57,-63
2,2,-44,-41,-63
2,2,-44,-41,-45
2,2,-54,-41,-45
2,2,-54,-56,-45
2,2,-54,-56,-61
2,2,-54,-43,-61
2,2,-54,-43,-60
2,2,-54,-43,-45
2,2,-55,-43,-45
2,2,-55,-57,-45
2,2,-55,-57,-63
2,2,-55,-40,-63
2,2,-55,-40,-45
2,2,-54,-40,-45
2,2,-54,-62,-45
2,2,-54,-62,-49
2,2,-54,-56,-49
2,2,-59,-56,-49
2,2,-59,-56,-60
2,2,-59,-57,-60
2,2,-45,-57,-60
2,2,-45,-57,-45
2,2,-45,-48,-45
2,2,-55,-48,-45
2,2,-55,-56,-45
2,2,-55,-56,-60
2,2,-45,-56,-60
2,2,-45,-43,-60
2,2,-45,-62,-60
2,2,-59,-62,-60
2,2,-59,-62,-60
2,2,-55,-62,-60
2,2,-55,-62,-45
2,2,-55,-62,-45
2,2,-55,-56,-45
2,2,-55,-56,-63
2,2,-55,-48,-63
2,2,-55,-48,-65
2,2,-55,-43,-65
2,2,-55,-43,-59
2,2,-59,-43,-59
2,2,-59,-48,-59
2,2,-59,-48,-60
2,2,-55,-48,-60
2,2,-55,-43,-60
2,2,-55,-43,-60
2,2,-55,-62,-60
2,2,-55,-40,-60
2,2,-41,-40,-60
2,2,-41,-40,-60
2,2,-59,-40,-60
2,2,-59,-40,-66
2,2,-59,-58,-66
2,2,-46,-58,-66
2,2,-45,-58,-66
2,2,-40,-58,-66
2,2,-40,-47,-66
2,2,-40,-47,-45
2,2,-44,-47,-45
2,2,-44,-41,-45
2,2,-44,-41,-65
2,2,-56,-41,-65
2,2,-56,-41,-60
2,2,-56,-41,-60
2,2,-44,-41,-60
2,2,-55,-41,-60
2,2,-55,-56,-60
2,2,-55,-56,-65
2,2,-55,-57,-65
2,2,-56,-57,-65
2,2,-56,-57,-60
2,2,-56,-41,-60
2,2,-44,-41,-60
2,2,-44,-41,-49
2,2,-44,-43,-49
2,2,-44,-43,-61
2,2,-55,-43,-61
2,2,-55,-48,-61
2,2,-55,-48,-45
2,2,-55,-40,-45
2,2,-40,-40,-45
2,2,-40,-40,-61
2,2,-40,-57,-61
2,2,-40,-57,-60
2,2,-40,-62,-60
2,2,-44,-62,-60
2,2,-44,-62,-61
2,2,-44,-57,-61
2,2,-55,-57,-61
2,2,-55,-57,-50
2,2,-55,-40,-50
2,2,-44,-40,-50
2,2,-40,-40,-50
2,2,-40,-43,-50
2,2,-41,-43,-50
2,2,-41,-41,-50
2,2,-41,-41,-60
2,2,-41,-41,-60
2,2,-41,-48,-60
2,2,-41,-48,-60
2,2,-41,-48,-61
2,2,-41,-48,-61
2,2,-41,-62,-61
2,2,-41,-62,-65
2,2,-40,-62,-65
2,2,-40,-58,-65
2,2,-40,-58,-59
2,2,-40,-48,-59
2,2,-40,-48,-65
2,2,-46,-48,-65
2,2,-46,-58,-65
2,2,-46,-58,-61
2,2,-41,-58,-61
2,2,-41,-62,-61
2,2,-41,-58,-61
2,2,-41,-58,-61
2,2,-41,-40,-61
2,2,-59,-40,-61
2,2,-59,-43,-61
2,2,-59,-43,-60
2,2,-59,-62,-60
2,2,-59,-62,-45
2,2,-44,-62,-45
2,2,-44,-62,-49
2,2,-55,-62,-49
2,2,-55,-48,-49
2,2,-55,-48,-61
2,2,-44,-48,-61
2,2,-44,-43,-61
2,2,-44,-43,-65
2,2,-55,-43,-65
2,2,-55,-43,-60
2,2,-58,-43,-60
2,2,-58,-43,-60
2,2,-41,-43,-60
2,2,-41,-41,-60
2,2,-41,-41,-65
2,2,-41,-41,-65
2,2,-55,-41,-65
2,2,-55,-62,-65
2,2,-55,-62,-49
2,2,-55,-43,-49
2,2,-55,-43,-60
2,2,-45,-43,-60
2,2,-45,-41,-60
2,2,-45,-41,-65
2,2,-59,-41,-65
2,2,-59,-43,-65
2,2,-59,-43,-60
2,2,-46,-43,-60
2,2,-46,-40,-60
2,2,-46,-40,-64
2,2,-55,-40,-64
2,2,-55,-57,-64
2,2,-55,-57,-61
2,2,-55,-57,-61
2,2,-41,-57,-61
2,2,-41,-41,-61
2,2,-41,-41,-65
2,2,-45,-41,-65
2,2,-45,-58,-65
2,2,-45,-58,-60
2,2,-55,-58,-60
2,2,-55,-56,-60
2,2,-55,-56,-69
2,2,-55,-56,-69
2,2,-55,-56,-60
2,2,-55,-40,-60
2,2,-55,-40,-64
2,2,-55,-40,-64
2,2,-55,-57,-64
2,2,-55,-57,-61
2,2,-41,-57,-61
2,2,-41,-40,-61
2,2,-41,-40,-63
2,2,-45,-40,-63
2,2,-45,-57,-63
2,2,-45,-57,-45
2,2,-45,-41,-45
2,2,-45,-41,-60
2,2,-41,-41,-60
2,2,-41,-62,-60
2,2,-41,-62,-56
2,2,-41,-40,-56
2,2,-41,-40,-59
2,2,-56,-40,-59
2,2,-56,-43,-59
2,2,-56,-43,-60
2,2,-55,-43,-60
2,2,-55,-43,-59
2,2,-55,-43,-59
2,2,-55,-57,-59
2,2,-55,-57,-50
